,brain,batch,condition,Telencephalon,Diencephalon,Mesencephalon,Metencephalon(no_cerebellum)
3,an04,201908_tpham_ymaze_cfos,CNOnCrusIRT,0.7195027195027195,0.18324268324268325,0.0552965552965553,0.04195804195804196
4,an05,201908_tpham_ymaze_cfos,CNOnCrusIRT,0.6956188203204909,0.13160586430276167,0.10552335492669622,0.06725196045005115
5,an06,201908_tpham_ymaze_cfos,CNOnCrusIRT,0.6647075286873776,0.11035144536403982,0.16264843468873696,0.06229259125984567
6,an07,201908_tpham_ymaze_cfos,CNOnCrusIRT,0.6730746960046323,0.08905616676317313,0.14564755838641189,0.09222157884578266
7,an08,201908_tpham_ymaze_cfos,CNOnCrusIRT,0.5865727243278264,0.12046485260770975,0.18067703271784905,0.11228539034661483
8,an09,201908_tpham_ymaze_cfos,CNOnCrusIRT,0.5872609749528683,0.11823323458120119,0.1803573031690457,0.11414848729688482
0,an21_crus1_lat,202002_cfos,CNO_control_reversal,0.6018765154314349,0.10041232602984998,0.22340055920453983,0.07431059933417526
1,an22_crus1_lat,202002_cfos,CNO_control_reversal,0.6507101731747205,0.116317927578765,0.18229831753926115,0.05067358170725333
2,an23_crus1_lat,202002_cfos,CNO_control_reversal,0.6782440594563096,0.07369141546345027,0.2060390517329091,0.04202547334733103
3,an24_crus1_lat,202002_cfos,CNO_control_reversal,0.5826398857657972,0.10878383752684466,0.21729875501384371,0.09127752169351448
4,an25_crus1_lat,202002_cfos,CNO_control_reversal,0.6307593944643815,0.09723425318648682,0.1980530462401518,0.0739533061089799
0,an1_crus1_lat,202002_cfos,CNOnCrusILT,0.6086067621265574,0.08547772218251132,0.1950413890105836,0.11087412668034771
1,an15_crus1_lat,202002_cfos,CNOnCrusILT,0.5793631646667226,0.0861374507006797,0.21891870157478113,0.11558068305781656
2,an16_crus1_lat,202002_cfos,CNOnCrusILT,0.6448510052422194,0.06198614724316967,0.20759220143420098,0.08557064608040997
3,an17_crus1_lat,202002_cfos,CNOnCrusILT,0.671668085970765,0.07196653046555779,0.18296131940592358,0.0734040641577537
4,an2_crus1_lat,202002_cfos,CNOnCrusILT,0.5877372354689474,0.10272154498011679,0.22765160675470894,0.08188961279622683
5,an5_crus1_lat,202002_cfos,CNOnCrusILT,0.6355641087322588,0.08940101034399807,0.1971902814529709,0.07784459947077219
6,an6_crus1_lat,202002_cfos,CNOnCrusILT,0.5900811048766431,0.10556540206781016,0.18484423697907015,0.11950925607647651
7,an7_crus1_lat,202002_cfos,CNOnCrusILT,0.6111593930097601,0.10022254172824277,0.19887380802672103,0.08974425723527614
8,an8_crus1_lat,202002_cfos,CNOnCrusILT,0.6032392802721891,0.09977738517175978,0.19707606066765207,0.09990727388839914
9,an9_crus1_lat,202002_cfos,CNOnCrusILT,0.6490056952020018,0.10679943257362409,0.18407463436593766,0.060120237858436544
0,an10_crus1_lat,202002_cfos,CNOnCrusIRT,0.5731491813668121,0.132055389448555,0.1934091377426642,0.1013862914419686
1,an11_crus1_lat,202002_cfos,CNOnCrusIRT,0.552882996911416,0.13496274147478785,0.23231267466082173,0.07984158695297443
2,an12_crus1_lat,202002_cfos,CNOnCrusIRT,0.7186312086527354,0.08644728551926914,0.14898666386642864,0.04593484196156673
3,an13_crus1_lat,202002_cfos,CNOnCrusIRT,0.6658459635627664,0.10816580297172791,0.1486012771882017,0.07738695627730395
4,an14_crus1_lat,202002_cfos,CNOnCrusIRT,0.5963766894738616,0.12136405001853787,0.20585796622737537,0.07640129428022516
5,an18_crus1_lat,202002_cfos,CNOnCrusIRT,0.5929244292857875,0.08080392230248137,0.20414393274937068,0.12212771566236044
6,an19_crus1_lat,202002_cfos,CNOnCrusIRT,0.5978144589256228,0.11043993942353551,0.20429355643510927,0.0874520452157324
7,an20_crus1_lat,202002_cfos,CNOnCrusIRT,0.6391608080035496,0.0665650566868587,0.1962644409006778,0.09800969440891395
8,an3_crus1_lat,202002_cfos,CNOnCrusIRT,0.6393019292824713,0.08345184045248905,0.207165215709814,0.07008101455522565
9,an4_crus1_lat,202002_cfos,CNOnCrusIRT,0.6461660996763364,0.08946487508993262,0.17780265730929118,0.0865663679244397
0,an26_crus1_lat,202002_cfos,Vehicle_control_reversal,0.6499049457409337,0.09981641733885856,0.19440012776941057,0.0558785091507971
1,an27_crus1_lat,202002_cfos,Vehicle_control_reversal,0.623561260210035,0.06856476079346557,0.1947607934655776,0.11311318553092183
2,an28_crus1_lat,202002_cfos,Vehicle_control_reversal,0.5517682635816273,0.09215936776422874,0.27810787772940326,0.07796449092474068
3,an29_crus1_lat,202002_cfos,Vehicle_control_reversal,0.5999762972723784,0.1146006793442781,0.22955689960287887,0.05586612378046453
4,an30_crus1_lat,202002_cfos,Vehicle_control_reversal,0.664366512558153,0.10580769286511399,0.17500978275047466,0.05481601182625835
5,an31_crus1_lat,202002_cfos,Vehicle_control_reversal,0.6456925771227131,0.08140366279148697,0.2046619814552514,0.0682417786305486
6,an32_crus1_lat,202002_cfos,Vehicle_control_reversal,0.6014911550590248,0.08955136396140816,0.24246704883376513,0.06649043214580183
7,an33_crus1_lat,202002_cfos,Vehicle_control_reversal,0.689779116637712,0.07571737883935678,0.17813374526097783,0.056369759261953464
8,an34_crus1_lat,202002_cfos,Vehicle_control_reversal,0.5789676665589074,0.12408759124087591,0.2250428673786338,0.07190187482158285
0,an6_cno,202002_cfos,cno_injection,0.6374236087110386,0.10365415777633831,0.18088256902378502,0.07803966448883802
1,an7_cno,202002_cfos,cno_injection,0.5873619907319028,0.10703624375641141,0.22052113642227952,0.0850806290894063
2,an8_cno,202002_cfos,cno_injection,0.7182793428925395,0.07481439917926382,0.14920472664040754,0.05770153128778914
0,an0_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.6042253704016309,0.12681305268078585,0.19743932684941112,0.07152225006817207
1,an1_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.515459948269394,0.12604892688609395,0.2211878294864454,0.13730329535806662
2,an10_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.5478980470043032,0.163670969877524,0.23197616683217478,0.056454816285998015
3,an11_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.5559749275459999,0.10373840174338927,0.2664622228213251,0.0738244478892858
4,an12_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.5348248279716372,0.11890041566244018,0.2750532676656537,0.07122148870026895
5,an13_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.5404108178042869,0.13816054200688097,0.21467145934852128,0.1067571808403109
6,an14_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.5105898964543458,0.13601013044062935,0.22626518445470437,0.1271347886503205
7,an2_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.4879906000122078,0.14141182933528657,0.25523408411157905,0.11536348654092657
8,an3_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.4607568841113238,0.11278407696461003,0.2787267461836745,0.1477322927403917
9,an4_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.5522337141478271,0.10554913006215624,0.26022416188915054,0.08199299390086619
10,an6_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.5316260379201634,0.09624350606100972,0.2287309622130456,0.14339949380578126
11,an7_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.618731917710235,0.10499738440679414,0.20401627005732953,0.07225442782564136
12,an8_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.6267661329970289,0.10367013658807686,0.19831990252869633,0.07124382788619797
13,an9_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,0.6318311947241961,0.11508869689688667,0.1791063851541332,0.073973723224784
0,an1_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.5204660626269488,0.1260372545077677,0.22572460502873465,0.1277720778365488
1,an10_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.5206196171766272,0.11797736945077553,0.203969422537768,0.15743359083482927
2,an2_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.5349462912627004,0.12174222713199703,0.19732546477317325,0.1459860168321293
3,an3_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.6180274473137064,0.0951690390364529,0.20668220907200768,0.08012130457783301
4,an4_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.5490972085694666,0.13684619921531085,0.21535785415722847,0.09869873805799406
5,an5_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.5566284330151051,0.11964125797635924,0.19833748054445777,0.12539282846407787
6,an6_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.5640792360797866,0.11121262394972439,0.17980642053838333,0.14490171943210575
7,an7_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.6366800817392987,0.12174943648124319,0.15463126099642116,0.08693922078303701
8,an8_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.6339078970524452,0.10563168520984578,0.17569483225224453,0.08476558548546453
9,an9_vecctrl_ymaze,202002_cfos,lobVI_noreversal,0.5673519105542411,0.12596532693374146,0.18682360519490585,0.11985915731711157
0,an1_saline,202002_cfos,saline_injection,0.7364927003103805,0.06239797677894011,0.13641797907805495,0.06469134383262444
1,an2_saline,202002_cfos,saline_injection,0.6898551084954831,0.08559058515994182,0.15781080461933794,0.06674350172523712
2,an3_saline,202002_cfos,saline_injection,0.71340259986716,0.07153904545023247,0.1616914950817598,0.053366859600847645
3,an4_saline,202002_cfos,saline_injection,0.6464538702982694,0.10980395519956092,0.16282524055365932,0.08091693394851036
0,dadult_pc_crus1_2,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,0.8113222444467838,0.12174965785872197,0.06319086219602063,0.0037372354984735235
1,dadult_pc_crus1_5,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,0.658489647849938,0.1725137143868342,0.1641966023712617,0.004800035391966024
2,dadult_pc_crus1_6,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,0.8139511027526074,0.11812275602667123,0.0679090442810737,1.7096939647803045e-05
3,dadult_pc_crus1_7,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,0.7559434994528996,0.14305845684538612,0.10036804933850592,0.0006299943632083292
4,dadult_pc_crus1_8,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,0.7144261808467218,0.16984527475789396,0.11437423472227376,0.0013543096731104597
5,dadult_pc_crus1_9,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,0.7226068560988509,0.1841915476705611,0.08861002932833309,0.004591566902254916
0,dadult_pc_lob6_13,201810_adultacutePC_ymaze_cfos,lobVI_reversal,0.7801472206598029,0.07010100022009733,0.14811327676016728,0.0016385023599325035
1,dadult_pc_lob6_15,201810_adultacutePC_ymaze_cfos,lobVI_reversal,0.8003742853617406,0.07436350923374327,0.12100522354296056,0.0042569818615555465
2,dadult_pc_lob6_17,201810_adultacutePC_ymaze_cfos,lobVI_reversal,0.7932278410977095,0.08283722474272436,0.12105787318800487,0.002877060971561359
3,dadult_pc_lob6_18,201810_adultacutePC_ymaze_cfos,lobVI_reversal,0.8164017970897874,0.07599633429446344,0.10664073850555444,0.0009611301101946847
4,dadult_pc_lob6_19,201810_adultacutePC_ymaze_cfos,lobVI_reversal,0.7988343341575415,0.09002119392440834,0.10736488873189685,0.003779583186153303
5,dadult_pc_lob6_20,201810_adultacutePC_ymaze_cfos,lobVI_reversal,0.7229585798816568,0.07301775147928995,0.20118343195266272,0.0028402366863905324
6,dadult_pc_lob6_21,201810_adultacutePC_ymaze_cfos,lobVI_reversal,0.7691902336202354,0.08513379003454535,0.13987938403887815,0.005796592306341121
0,dadult_pc_crus1_1,201810_adultacutePC_ymaze_cfos,vector_control_reversal,0.7588818551773142,0.12307021510238357,0.11047412957819262,0.007573800142109683
1,dadult_pc_crus1_3,201810_adultacutePC_ymaze_cfos,vector_control_reversal,0.7345858303614103,0.16086988492223978,0.09717269017243281,0.007371594543917056
2,dadult_pc_crus1_4,201810_adultacutePC_ymaze_cfos,vector_control_reversal,0.740042417321183,0.1341739110168504,0.12403570512969912,0.0017479665322674622
3,dadult_pc_lob6_14,201810_adultacutePC_ymaze_cfos,vector_control_reversal,0.8232865400495458,0.058769787585431416,0.1167665196689917,0.0011771526960310627
4,dadult_pc_lob6_16,201810_adultacutePC_ymaze_cfos,vector_control_reversal,0.7592196107676394,0.09059635786283048,0.14623878370901394,0.00394524766051625
