control,treatment,region,Estimate,Std. Error,z value,Pr(>|z|),fdr_adj_pval,status
control,demonstrator,Nucleus of the lateral lemniscus,-0.11604750450285246,0.3525572234997127,-0.329159344264427,0.7420352507707983,0.9979519911483261,success
control,demonstrator,Nucleus of the lateral olfactory tract,-0.03529633799193695,0.5012835645294886,-0.07041191949922906,0.9438658044079854,0.9979519911483261,success
control,demonstrator,"Nucleus of the lateral olfactory tract, layer 3",0.18345548819354812,0.4976421056608924,0.3686494492862707,0.7123890323556035,0.9979519911483261,success
control,demonstrator,"Nucleus of the lateral olfactory tract, molecular layer",-0.6353501188949328,0.5386427560141995,-1.1795389649279602,0.2381836305355377,0.9007985199454351,success
control,demonstrator,"Nucleus of the lateral olfactory tract, pyramidal layer",0.053885767869632,0.5197347226240667,0.10367936857782066,0.9174237998934083,0.9979519911483261,success
control,demonstrator,Nucleus of the optic tract,0.007908719575202266,0.28017565516586085,0.028227718680698337,0.9774805297187401,0.9979519911483261,success
control,demonstrator,Nucleus of the posterior commissure,-0.9400513238281514,0.49669223862788153,-1.892623340411066,0.05840797755740915,0.610168841777682,success
control,demonstrator,Nucleus of the solitary tract,0.1548688843624173,0.43359431467209253,0.3571746195047265,0.7209610851218913,0.9979519911483261,success
control,demonstrator,Nucleus of the trapezoid body,-0.35860778754180006,0.7284302068881975,-0.4923021919611863,0.6225057308028916,0.9979519911483261,success
control,demonstrator,Nucleus prepositus,0.22294997838252395,0.4648215576405448,0.47964638196693826,0.6314788597950041,0.9979519911483261,success
control,demonstrator,Nucleus raphe magnus,-1.071121828238233,0.6391591692769193,-1.6758295581521472,0.0937715826508057,0.7159511412546149,success
control,demonstrator,Nucleus raphe obscurus,-0.6068819000259131,0.5147153787426942,-1.179063080470523,0.23837305839974976,0.9007985199454351,success
control,demonstrator,Nucleus raphe pallidus,-0.5425202637518044,0.6827468369020936,-0.7946141006136982,0.42683801348745376,0.9979519911483261,success
control,demonstrator,Nucleus raphe pontis,0.3835072556422643,0.43583193895931327,0.8799429811362822,0.37889019904015386,0.9979519911483261,success
control,demonstrator,Nucleus sagulum,-0.0697784414866446,0.4378836293423113,-0.15935384839905942,0.8733900978385503,0.9979519911483261,success
control,demonstrator,Nucleus x,0.6194672056987717,0.43692680045619087,1.4177825783449132,0.15625425203930116,0.8310809180922476,success
control,demonstrator,Nucleus y,0.8272863874945834,0.36371599162639795,2.2745394938376973,0.02293356934084994,0.40872472058329595,success
control,demonstrator,Oculomotor nucleus,0.15129054030398062,0.6137625841204837,0.24649684457513588,0.8052976467650732,0.9979519911483261,success
control,demonstrator,Olfactory areas,0.04687144360851161,0.07580688525044553,0.6183006128488328,0.5363771979993259,0.9979519911483261,success
control,demonstrator,Olfactory tubercle,-0.11030706703863534,0.5010882432829984,-0.2201350131783824,0.8257660069871855,0.9979519911483261,success
control,demonstrator,Olivary pretectal nucleus,0.2714493654619016,0.3994662081464187,0.6795302329112296,0.49680195826735096,0.9979519911483261,success
control,demonstrator,Orbital area,-0.08148661986875434,0.10490743188791188,-0.7767478280835103,0.4373075628978714,0.9979519911483261,success
control,demonstrator,"Orbital area, lateral part",-0.047286915092384786,0.1187190783090601,-0.3983093178105988,0.6904021928812134,0.9979519911483261,success
control,demonstrator,"Orbital area, lateral part, layer 1",-0.23068488284547914,0.2596326174871838,-0.8885050155798179,0.37426915911434144,0.9979519911483261,success
control,demonstrator,"Orbital area, lateral part, layer 2/3",-0.09506877495350895,0.14310145291622128,-0.6643452810305632,0.5064693460097716,0.9979519911483261,success
control,demonstrator,"Orbital area, lateral part, layer 5",-0.002498381299928045,0.1241180267327095,-0.02012907686091688,0.9839404048605342,0.9979519911483261,success
control,demonstrator,"Orbital area, lateral part, layer 6a",-0.0514897207331173,0.14626132777229034,-0.35203919940669504,0.7248088649244963,0.9979519911483261,success
control,demonstrator,"Orbital area, lateral part, layer 6b",-0.0891907201074781,0.20748748367608358,-0.4298607247399898,0.667296956836894,0.9979519911483261,success
control,demonstrator,"Orbital area, medial part",-0.07523692231582976,0.11633388025916962,-0.6467326813841016,0.517804967746696,0.9979519911483261,success
control,demonstrator,"Orbital area, medial part, layer 1",-0.0654861902385516,0.186228537613428,-0.35164422745179585,0.7251050922372606,0.9979519911483261,success
control,demonstrator,"Orbital area, medial part, layer 2/3",-0.06157009489481314,0.09633836475644836,-0.6391025532815262,0.5227562190213602,0.9979519911483261,success
control,demonstrator,"Orbital area, medial part, layer 5",-0.06494768846795501,0.1564347289148924,-0.41517436005715525,0.6780142671293825,0.9979519911483261,success
control,demonstrator,"Orbital area, medial part, layer 6a",-0.14055200398509357,0.14760279670900517,-0.9522313067156035,0.34097968699671743,0.980477439590561,success
control,demonstrator,"Orbital area, ventrolateral part",-0.13403420899512047,0.10804560669782125,-1.240533632894333,0.21477808221384465,0.9007985199454351,success
control,demonstrator,"Orbital area, ventrolateral part, layer 1",-0.12395556388465766,0.21228737027941372,-0.5839045616397561,0.5592845239745813,0.9979519911483261,success
control,demonstrator,"Orbital area, ventrolateral part, layer 2/3",-0.14667048000079022,0.1295792623532944,-1.1318977847002794,0.25767741015996126,0.9093972293661937,success
control,demonstrator,"Orbital area, ventrolateral part, layer 5",-0.09864761732636192,0.12102118529735427,-0.8151268481132495,0.41499970500460936,0.9979519911483261,success
control,demonstrator,"Orbital area, ventrolateral part, layer 6a",-0.21192567323038639,0.12416695367088618,-1.7067800003542914,0.08786295107806869,0.704753354963035,success
control,demonstrator,"Orbital area, ventrolateral part, layer 6b",-0.2212943014998105,0.239611925893617,-0.9235529520265232,0.3557191189069685,0.9979519911483261,success
control,demonstrator,Pallidum,0.11176737951829976,0.11277557588810254,0.9910601532125792,0.3216562085218879,0.9677179991997528,success
control,demonstrator,"Pallidum, caudal region",0.36567137269853167,0.3154182272937133,1.1593222618616243,0.24632485076467114,0.9007985199454351,success
control,demonstrator,"Pallidum, dorsal region",-0.16196175206888574,0.32864740250423835,-0.4928131207937876,0.6221446389282466,0.9979519911483261,success
control,demonstrator,"Pallidum, medial region",-0.13307149583766745,0.14688929643767895,-0.9059305141006376,0.3649726321368353,0.9979519911483261,success
control,demonstrator,"Pallidum, ventral region",0.2012581212555006,0.3245900286837781,0.6200379046503925,0.5352328320253086,0.9979519911483261,success
control,demonstrator,Parabigeminal nucleus,-0.1372595762723183,0.5238084911226043,-0.2620415258602421,0.7932894274119461,0.9979519911483261,success
control,demonstrator,Parabrachial nucleus,0.02777499383723942,0.3052166378693945,0.0910009166968304,0.9274918626615035,0.9979519911483261,success
control,demonstrator,Paracentral nucleus,0.19750496309115956,0.3452031300624728,0.5721412869443459,0.5672262602179061,0.9979519911483261,success
control,demonstrator,Parafascicular nucleus,-0.3868513328628064,0.2645251811583272,-1.4624366994810332,0.14362157879194462,0.8039811687251274,success
control,demonstrator,Paraflocculus,-0.14689762779630686,0.33389995301627834,-0.4399450388336691,0.6599769145135054,0.9979519911483261,success
control,demonstrator,Paragigantocellular reticular nucleus,-0.29998398196095843,0.3637571449141712,-0.8246820334807167,0.4095521344906975,0.9979519911483261,success
control,demonstrator,"Paragigantocellular reticular nucleus, dorsal part",-0.05032671479181873,0.45324710457625683,-0.11103593224024993,0.9115878530871577,0.9979519911483261,success
control,demonstrator,"Paragigantocellular reticular nucleus, lateral part",-0.48451762832856493,0.5469389627024981,-0.8858714799444877,0.3756867861664863,0.9979519911483261,success
control,demonstrator,Paramedian lobule,-0.39295123343970967,0.1616371187456096,-2.431070514552729,0.01505428438687276,0.3700440226708724,success
control,demonstrator,Parapyramidal nucleus,-1.0551285211203727,0.6116742326780017,-1.7249844194038737,0.08453028041313797,0.6898855063845769,success
control,demonstrator,Parasolitary nucleus,0.3348949899760149,0.49439626881042925,0.6773817099829826,0.49816379984756565,0.9979519911483261,success
control,demonstrator,Parastrial nucleus,0.7507352324521722,0.3195700413771983,2.3492040405816903,0.018813593994202446,0.40872472058329595,success
control,demonstrator,Parasubiculum,-0.24287954335993947,0.192676371296083,-1.2605569729497863,0.2074685090215338,0.8931695134147387,success
control,demonstrator,Parasubthalamic nucleus,0.19338631168026924,0.3190658791707045,0.6061015116467686,0.5444473472558322,0.9979519911483261,success
control,demonstrator,Parataenial nucleus,-0.6104835558628132,0.3992758421562338,-1.5289769412694278,0.12627016038227612,0.7817942714959967,success
control,demonstrator,Paraventricular hypothalamic nucleus,0.14244084222304051,0.37858435754611736,0.3762459789577784,0.7067340361002175,0.9979519911483261,success
control,demonstrator,"Paraventricular hypothalamic nucleus, descending division",-0.13965357069782203,0.30173799898453724,-0.4628305721115976,0.6434858156595872,0.9979519911483261,success
control,demonstrator,Paraventricular nucleus of the thalamus,-0.8727893199437816,0.21955705347684693,-3.975227878688126,7.031189878649407e-05,0.02678883343765424,success
control,demonstrator,Parvicellular reticular nucleus,0.23002385412674572,0.44268708977321236,0.5196082276638934,0.6033366623545697,0.9979519911483261,success
control,demonstrator,Pedunculopontine nucleus,0.005537425999264083,0.3704423317416389,0.014948145837517574,0.9880735493803315,0.9979519911483261,success
control,demonstrator,Periaqueductal gray,-0.12953205681506053,0.15589362300436344,-0.8309002916138202,0.4060299589132469,0.9979519911483261,success
control,demonstrator,Perihypoglossal nuclei,0.21319844341063302,0.38936650726441496,0.5475520863581932,0.5839994965465387,0.9979519911483261,success
control,demonstrator,Peripeduncular nucleus,0.19139252024450876,0.35086559473136986,0.545486713768681,0.5854188159115306,0.9979519911483261,success
control,demonstrator,Perireunensis nucleus,0.08833277077781111,0.32990217705929514,0.2677544342544141,0.7888883465642612,0.9979519911483261,success
control,demonstrator,Perirhinal area,0.21363717857528594,0.11403496318002049,1.8734357658188492,0.061008235016928154,0.6203782101397759,success
control,demonstrator,"Perirhinal area, layer 1",0.33343557769906673,0.42612259152573057,0.7824874445290537,0.43392816125070455,0.9979519911483261,success
control,demonstrator,"Perirhinal area, layer 2/3",0.28301322745646396,0.21426571830824206,1.3208516494893594,0.18655083409507023,0.8733176593454869,success
control,demonstrator,"Perirhinal area, layer 5",0.18838924335392732,0.16293747427890676,1.1562057420348477,0.24759701170475357,0.9007985199454351,success
control,demonstrator,"Perirhinal area, layer 6a",-0.1211861119220038,0.18164026530424385,-0.6671764749903853,0.5046594159479151,0.9979519911483261,success
control,demonstrator,"Perirhinal area, layer 6b",-0.22458509235412874,0.2668196871407781,-0.8417110999595553,0.3999496835705262,0.9979519911483261,success
control,demonstrator,"Periventricular hypothalamic nucleus, anterior part",-0.17319129985572157,0.49793321853595346,-0.34782033696194586,0.727975115499929,0.9979519911483261,success
control,demonstrator,"Periventricular hypothalamic nucleus, intermediate part",-0.27984220448534414,0.41165677654487487,-0.6797949661708981,0.4966342944691826,0.9979519911483261,success
control,demonstrator,"Periventricular hypothalamic nucleus, posterior part",-0.11464465966290788,0.7093508626542208,-0.16161911643264246,0.8716058024935431,0.9979519911483261,success
control,demonstrator,"Periventricular hypothalamic nucleus, preoptic part",0.0338702290122554,0.34095997901149766,0.09933784343385722,0.9208700322838642,0.9979519911483261,success
control,demonstrator,Periventricular region,0.1185203708738504,0.22013420001002618,0.5384005341671231,0.5903005576798497,0.9979519911483261,success
