control,treatment,region,Estimate,Std. Error,z value,Pr(>|z|),fdr_adj_pval,status
control,observer,Abducens nucleus,0.19083892794227342,0.4122493950403291,0.4629210624398957,0.6434209495942151,0.9988677083573988,success
control,observer,Accessory facial motor nucleus,-0.9495357344129048,0.5648146514642025,-1.6811457209039586,0.09273461351567504,0.9988677083573988,success
control,observer,Accessory olfactory bulb,-0.4810487494895236,0.4004203677301805,-1.2013593419745165,0.22961184044382832,0.9988677083573988,success
control,observer,"Accessory olfactory bulb, glomerular layer",-0.9938187513479806,0.4013332490337353,-2.4762930899464104,0.013275454827384552,0.6395862909772715,success
control,observer,"Accessory olfactory bulb, granular layer",-0.1730206819298614,0.4004973344481798,-0.4320145655107936,0.665730826980611,0.9988677083573988,success
control,observer,"Accessory olfactory bulb, mitral layer",-0.8453921030863433,0.4006461782473649,-2.110071551872849,0.034852193231714526,0.8741828487911251,success
control,observer,Accessory supraoptic group,0.5222323536107141,0.41628861780593046,1.2544958744324197,0.20966182433582659,0.9988677083573988,success
control,observer,Agranular insular area,-0.04218343561631341,0.40032749453074734,-0.10537231689709359,0.9160803816686515,0.9988677083573988,success
control,observer,"Agranular insular area, dorsal part",-0.1836599840178909,0.40033533604729404,-0.45876535863972306,0.646402673569788,0.9988677083573988,success
control,observer,"Agranular insular area, dorsal part, layer 1",-0.1764731655788405,0.4005337301318661,-0.440595016855986,0.6595062110366453,0.9988677083573988,success
control,observer,"Agranular insular area, dorsal part, layer 2/3",-0.4193205821623376,0.40038952484900564,-1.0472815998881868,0.2949697198792215,0.9988677083573988,success
control,observer,"Agranular insular area, dorsal part, layer 5",-0.20792072365654835,0.4003601841022523,-0.5193341693624689,0.6035277293914127,0.9988677083573988,success
control,observer,"Agranular insular area, dorsal part, layer 6a",-0.007314566333887578,0.4003674773506993,-0.018269631645130933,0.9854237538585185,0.9988677083573988,success
control,observer,"Agranular insular area, dorsal part, layer 6b",0.07826830637298927,0.40133106321111184,0.19502180007386535,0.8453758812936435,0.9988677083573988,success
control,observer,"Agranular insular area, posterior part",0.1624860249162112,0.4003516707360213,0.4058582411245865,0.6848467623712945,0.9988677083573988,success
control,observer,"Agranular insular area, posterior part, layer 1",0.22362567583168452,0.40090534153554847,0.5578016869896345,0.5769798106100512,0.9988677083573988,success
control,observer,"Agranular insular area, posterior part, layer 2/3",0.04748139224162029,0.40043039305198025,0.11857589500069912,0.9056113635960826,0.9988677083573988,success
control,observer,"Agranular insular area, posterior part, layer 5",0.12143095679131582,0.400419247510281,0.303259539960546,0.7616920776034352,0.9988677083573988,success
control,observer,"Agranular insular area, posterior part, layer 6a",0.28578379660160297,0.40041551662219393,0.7137180871820459,0.4754015197562237,0.9988677083573988,success
control,observer,"Agranular insular area, posterior part, layer 6b",0.2385499520671553,0.40246019354084855,0.5927293081295583,0.5533623240205989,0.9988677083573988,success
control,observer,"Agranular insular area, ventral part",0.026502504587741605,0.4003447232865068,0.06619921044588137,0.9472192253704242,0.9988677083573988,success
control,observer,"Agranular insular area, ventral part, layer 1",-0.0771353612887981,0.40067807584721626,-0.1925120587786061,0.84734112303531,0.9988677083573988,success
control,observer,"Agranular insular area, ventral part, layer 2/3",-0.05921013444301816,0.40039421370067746,-0.1478795957008556,0.8824377914158158,0.9988677083573988,success
control,observer,"Agranular insular area, ventral part, layer 5",0.08813591783574455,0.40037311401102305,0.22013445646432192,0.8257664405474254,0.9988677083573988,success
control,observer,"Agranular insular area, ventral part, layer 6a",0.07369761836024462,0.4004971168281915,0.18401535307895867,0.8540014105768946,0.9988677083573988,success
control,observer,"Agranular insular area, ventral part, layer 6b",0.1139016627506632,0.41363845158935675,0.27536526721103793,0.7830356257067517,0.9988677083573988,success
control,observer,Ammon's horn,-0.17011984737514907,0.4003265072990328,-0.4249527430070332,0.6708711246657183,0.9988677083573988,success
control,observer,Ansiform lobule,-0.08414375378230506,0.4003470587395892,-0.21017702502227553,0.8335295104498281,0.9988677083573988,success
control,observer,Anterior amygdalar area,-0.21591154312487362,0.4006000651608257,-0.5389703145409958,0.5899073379274009,0.9988677083573988,success
control,observer,Anterior cingulate area,0.1826738625192494,0.4003283808213057,0.4563100476275986,0.6481670397342356,0.9988677083573988,success
control,observer,"Anterior cingulate area, dorsal part",0.1579247917053315,0.400332553154486,0.3944840120068608,0.6932237287986346,0.9988677083573988,success
control,observer,"Anterior cingulate area, dorsal part, layer 1",0.14119039572160433,0.4004239573430267,0.3526022685017628,0.7243866366793095,0.9988677083573988,success
control,observer,"Anterior cingulate area, dorsal part, layer 2/3",0.07998679840738612,0.40036739392655657,0.19978349790907027,0.8416499079081821,0.9988677083573988,success
control,observer,"Anterior cingulate area, dorsal part, layer 5",0.18430804191657113,0.4003513213646761,0.4603657639703073,0.6452537043160231,0.9988677083573988,success
control,observer,"Anterior cingulate area, dorsal part, layer 6a",0.210067528935596,0.4003747326391014,0.524677288076896,0.5998075484660261,0.9988677083573988,success
control,observer,"Anterior cingulate area, dorsal part, layer 6b",0.1418836905008946,0.4023896966138433,0.3526026926008856,0.7243863186919598,0.9988677083573988,success
control,observer,"Anterior cingulate area, ventral part",0.2298447585043863,0.4003437242088723,0.5741185501498428,0.5658875812868669,0.9988677083573988,success
control,observer,"Anterior cingulate area, ventral part, 6a",0.1400834150590226,0.4004617568755036,0.34980472580449684,0.7264852521697078,0.9988677083573988,success
control,observer,"Anterior cingulate area, ventral part, 6b",0.21471632657155604,0.4013121924861126,0.5350356420556206,0.5926252113271864,0.9988677083573988,success
control,observer,"Anterior cingulate area, ventral part, layer 1",0.35343662794222686,0.4005355381246053,0.882410159151156,0.37755504387969274,0.9988677083573988,success
control,observer,"Anterior cingulate area, ventral part, layer 2/3",0.1829458979296481,0.40041012138315163,0.45689628748067423,0.6477455925686075,0.9988677083573988,success
control,observer,"Anterior cingulate area, ventral part, layer 5",0.26056242448364647,0.40037319203192684,0.6507988788192105,0.515176324068922,0.9988677083573988,success
control,observer,Anterior group of the dorsal thalamus,-0.8734611551055508,0.4004530985415493,-2.181182161623165,0.02916994568964088,0.822881167545181,success
control,observer,Anterior hypothalamic nucleus,0.06455981493964809,0.40049285957166214,0.16120091381578325,0.871935161410186,0.9988677083573988,success
control,observer,Anterior olfactory nucleus,0.1527366586249181,0.4003307795477883,0.3815261439488832,0.7028128755284515,0.9988677083573988,success
control,observer,Anterior pretectal nucleus,-0.6973337880323934,0.4005168160583236,-1.7410849184690589,0.08166869453674916,0.9988677083573988,success
control,observer,Anterior tegmental nucleus,-0.10911559916412066,0.40793256063428923,-0.2674844072129427,0.7890962181837061,0.9988677083573988,success
control,observer,Anterodorsal nucleus,-1.350565569175257,0.40177742352516255,-3.3614770021807203,0.0007752681240279487,0.08271569133537886,success
control,observer,Anterodorsal preoptic nucleus,0.38901968965962214,0.4007449134572167,0.9707414282655734,0.33167705617108556,0.9988677083573988,success
control,observer,Anterolateral visual area,0.21143946488053716,0.4003557607167613,0.5281289433727512,0.5974098433451851,0.9988677083573988,success
control,observer,"Anterolateral visual area, layer 1",0.11041716712844242,0.4007665492078111,0.2755149284457555,0.7829206582242509,0.9988677083573988,success
control,observer,"Anterolateral visual area, layer 2/3",0.2513251417785015,0.4004173391770385,0.6276579887750113,0.5302280120214486,0.9988677083573988,success
control,observer,"Anterolateral visual area, layer 4",0.33919739008807115,0.40049310950706485,0.8469493782441407,0.3970233379518566,0.9988677083573988,success
control,observer,"Anterolateral visual area, layer 5",0.11992182579019012,0.4004872549835101,0.29943980563158706,0.7646044941204364,0.9988677083573988,success
control,observer,"Anterolateral visual area, layer 6a",0.1492734771678066,0.4006099667773443,0.37261548525269605,0.7094346459951928,0.9988677083573988,success
control,observer,"Anterolateral visual area, layer 6b",-0.2278923624345458,0.402718353517476,-0.5658852159184158,0.5714718122782878,0.9988677083573988,success
control,observer,Anteromedial nucleus,-0.13907993247105294,0.4011060752163298,-0.3467410270364081,0.7287858850242412,0.9988677083573988,success
control,observer,"Anteromedial nucleus, dorsal part",-0.25234434317375887,0.40199256124868293,-0.6277338625120781,0.5301782984400178,0.9988677083573988,success
control,observer,"Anteromedial nucleus, ventral part",-0.03916376840086931,0.4018070256956619,-0.09746909809021824,0.9223538735094589,0.9988677083573988,success
control,observer,Anteromedial visual area,0.24253618394615928,0.40038863119500995,0.6057519246295273,0.5446794981479502,0.9988677083573988,success
control,observer,"Anteromedial visual area, layer 1",0.023981107256626694,0.4007144568606575,0.059845874901802626,0.9522783881409981,0.9988677083573988,success
control,observer,"Anteromedial visual area, layer 2/3",0.25796861635291346,0.40049058617149513,0.6441315358220381,0.5194901422618377,0.9988677083573988,success
control,observer,"Anteromedial visual area, layer 4",0.3763826969511277,0.4010880937863574,0.938404063301891,0.34803679857989955,0.9988677083573988,success
control,observer,"Anteromedial visual area, layer 5",0.150492659277899,0.4006707838978742,0.3756017791311124,0.7072129679057741,0.9988677083573988,success
control,observer,"Anteromedial visual area, layer 6a",0.5150123421313545,0.40090750391394314,1.284616369370588,0.19892637558384407,0.9988677083573988,success
control,observer,"Anteromedial visual area, layer 6b",0.41915285752973,0.40350142615675294,1.038789036068727,0.2989028615353426,0.9988677083573988,success
control,observer,Anteroventral nucleus of thalamus,-0.3496306111147213,0.4011447143581745,-0.8715822460084637,0.383436319613901,0.9988677083573988,success
control,observer,Anteroventral periventricular nucleus,0.18055460324459513,0.4008523676836331,0.4504266852356358,0.6524028070563614,0.9988677083573988,success
control,observer,Anteroventral preoptic nucleus,0.2017271203885977,0.4010605165174222,0.5029842432266318,0.6149753503499422,0.9988677083573988,success
control,observer,Arcuate hypothalamic nucleus,0.32067712108460983,0.40558034405018156,0.7906623824080912,0.42914103321685115,0.9988677083573988,success
control,observer,Area postrema,-0.21445848982706023,0.40309603065193755,-0.5320282848734854,0.5947064055619233,0.9988677083573988,success
control,observer,Auditory areas,0.06947880998985381,0.4003272009010701,0.17355505654741557,0.8622151555450357,0.9988677083573988,success
