control,treatment,region,Estimate,Std. Error,z value,Pr(>|z|),fdr_adj_pval,status
control,observer,Abducens nucleus,0.19415249956655234,0.6439140731896821,0.30151926732211604,0.7630185600302074,0.9892110326585131,success
control,observer,Accessory facial motor nucleus,-0.9742801771531474,0.8563635206626713,-1.1376946280934874,0.25524801732959757,0.9408417257124779,success
control,observer,Accessory olfactory bulb,-0.4810467541951281,0.3306100636220718,-1.455027560035269,0.14566163184188288,0.7754791210363774,success
control,observer,"Accessory olfactory bulb, glomerular layer",-0.993731531000323,0.43263239976853235,-2.2969420032618704,0.021622078441355125,0.3586444750163904,success
control,observer,"Accessory olfactory bulb, granular layer",-0.17300144104502202,0.31489807256016444,-0.5493886946925289,0.5827387308418153,0.9892110326585131,success
control,observer,"Accessory olfactory bulb, mitral layer",-0.8453770285403387,0.4178923100367175,-2.022954259354667,0.0430778635968333,0.47280877614390077,success
control,observer,Accessory supraoptic group,0.5230078010032332,0.4387414344731664,1.1920638442349365,0.2332362125218973,0.9176916235139323,success
control,observer,Agranular insular area,-0.04217216493951646,0.09632054914115185,-0.4378314421537999,0.6615084765250472,0.9892110326585131,success
control,observer,"Agranular insular area, dorsal part",-0.18366368385736787,0.12084929611673119,-1.519774543659425,0.12856764912595914,0.7319005374918067,success
control,observer,"Agranular insular area, dorsal part, layer 1",-0.17646970075955615,0.21295971226323449,-0.8286529826891675,0.40730079804372155,0.9892110326585131,success
control,observer,"Agranular insular area, dorsal part, layer 2/3",-0.419275612687718,0.18185365328201625,-2.3055660698633913,0.021134891016444363,0.35835381878993444,success
control,observer,"Agranular insular area, dorsal part, layer 5",-0.20791132507279633,0.14425480904030732,-1.4412782939853483,0.14950607697431506,0.7754791210363774,success
control,observer,"Agranular insular area, dorsal part, layer 6a",-0.00740957842266508,0.12541432753981588,-0.05908079697124498,0.9528877537175667,0.9892110326585131,success
control,observer,"Agranular insular area, dorsal part, layer 6b",0.07687196366967197,0.18694401056832358,0.4112031374312316,0.6809235879090838,0.9892110326585131,success
control,observer,"Agranular insular area, posterior part",0.162489464657454,0.31393807271328267,0.517584449866501,0.6047482335440939,0.9892110326585131,success
control,observer,"Agranular insular area, posterior part, layer 1",0.22363478579742904,0.42473293549529756,0.5265303608646216,0.5985197629600281,0.9892110326585131,success
control,observer,"Agranular insular area, posterior part, layer 2/3",0.047481045809649666,0.3375943451441124,0.14064526403539412,0.8881501880899474,0.9892110326585131,success
control,observer,"Agranular insular area, posterior part, layer 5",0.12144799298298352,0.3294042577536103,0.3686898093279197,0.712358945444596,0.9892110326585131,success
control,observer,"Agranular insular area, posterior part, layer 6a",0.285800881741121,0.2867144633256361,0.9968136187692858,0.31885498654363387,0.9892110326585131,success
control,observer,"Agranular insular area, posterior part, layer 6b",0.23955022555773636,0.22520431288213438,1.0637017670399156,0.28746382372579027,0.9577943122392051,success
control,observer,"Agranular insular area, ventral part",0.02652569791753569,0.19427983677727031,0.1365334579107442,0.8913995766046237,0.9892110326585131,success
control,observer,"Agranular insular area, ventral part, layer 1",-0.07710317456766849,0.33840163067783935,-0.22784516260523355,0.8197666152721536,0.9892110326585131,success
control,observer,"Agranular insular area, ventral part, layer 2/3",-0.059216035077195806,0.34437430986996775,-0.1719525335660351,0.8634748457949712,0.9892110326585131,success
control,observer,"Agranular insular area, ventral part, layer 5",0.08816278530501517,0.2290368914269397,0.38492831768605346,0.700290524933636,0.9892110326585131,success
control,observer,"Agranular insular area, ventral part, layer 6a",0.07384047200265471,0.10324240862274263,0.7152145420441969,0.4744764846320426,0.9892110326585131,success
control,observer,"Agranular insular area, ventral part, layer 6b",0.10496816547235191,0.1917277778494339,0.547485432991273,0.5840452755622053,0.9892110326585131,success
control,observer,Ammon's horn,-0.17010831460347137,0.07206255205903603,-2.3605646725377283,0.018247136386678374,0.3314896443579905,success
control,observer,Ansiform lobule,-0.08420198322255316,0.11450109133544198,-0.7353814906084637,0.4621071912124909,0.9892110326585131,success
control,observer,Anterior amygdalar area,-0.21592246759274666,0.4081786141713567,-0.5289901530757333,0.5968122807385363,0.9892110326585131,success
control,observer,Anterior cingulate area,0.1826721668120768,0.14142306538965008,1.2916716683291853,0.19647087297736843,0.8458665154998982,success
control,observer,"Anterior cingulate area, dorsal part",0.15792326926011596,0.32690856525475015,0.4830808551530335,0.6290383270574507,0.9892110326585131,success
control,observer,"Anterior cingulate area, dorsal part, layer 1",0.14118644121402502,0.3566637607087085,0.3958530604104005,0.6922134307368539,0.9892110326585131,success
control,observer,"Anterior cingulate area, dorsal part, layer 2/3",0.07998918454809988,0.3150164509948875,0.2539206580973069,0.7995568548675951,0.9892110326585131,success
control,observer,"Anterior cingulate area, dorsal part, layer 5",0.18430954380834186,0.31047947988812574,0.593628744401252,0.5527604512074198,0.9892110326585131,success
control,observer,"Anterior cingulate area, dorsal part, layer 6a",0.2100665803444319,0.3106660702252818,0.6761812778334646,0.4989255578438839,0.9892110326585131,success
control,observer,"Anterior cingulate area, dorsal part, layer 6b",0.14214606863560605,0.28465964747048383,0.49935447436519814,0.6175296851687933,0.9892110326585131,success
control,observer,"Anterior cingulate area, ventral part",0.22984600845935632,0.16032280820642134,1.4336451003491741,0.1516735662706417,0.7754791210363774,success
control,observer,"Anterior cingulate area, ventral part, 6a",0.14009860987505443,0.1803068660839887,0.7770009701671324,0.43715819794538646,0.9892110326585131,success
control,observer,"Anterior cingulate area, ventral part, 6b",0.21472006012490105,0.32518464021859217,0.6603019748428591,0.5090600630619517,0.9892110326585131,success
control,observer,"Anterior cingulate area, ventral part, layer 1",0.3534755493910572,0.2576991176668368,1.3716599132793454,0.17016933308266613,0.8286820560528447,success
control,observer,"Anterior cingulate area, ventral part, layer 2/3",0.18295550054579973,0.19530904558686052,0.936748730690168,0.34888782325614265,0.9892110326585131,success
control,observer,"Anterior cingulate area, ventral part, layer 5",0.2605531845105245,0.16909721996420077,1.5408484217876892,0.12335368137783241,0.7319005374918067,success
control,observer,Anterior group of the dorsal thalamus,-0.873479587944924,0.3547687774859567,-2.4621095298599105,0.013812247882724197,0.3099630921917224,success
control,observer,Anterior hypothalamic nucleus,0.06455057177972043,0.36509934709096187,0.1768027587396318,0.8596633220332512,0.9892110326585131,success
