,brain,batch,condition,Olfactory areas (T),Isocortex (T),Cortical subplate (T),Hippocampal formation (T),Cerebral nuclei (T),Thalamus (D),Hypothalamus (D),"Midbrain, motor related (Mes)","Midbrain, sensory related (Mes)","Midbrain, behavioral state related (Mes)",Medulla (Met),Pons (Met)
1,an22_crus1_lat,202002_cfos,CNO_control_reversal,14552,149202,8183,70323,106289,23946,38359,42556,14602,6795,5081,22062
2,an23_crus1_lat,202002_cfos,CNO_control_reversal,8137,113550,7515,66143,97963,15453,16415,37304,21735,3537,4431,13743
3,an24_crus1_lat,202002_cfos,CNO_control_reversal,11205,103151,10238,74329,108733,23423,34019,51005,27205,3012,14041,34157
4,an25_crus1_lat,202002_cfos,CNO_control_reversal,16298,116744,9759,61616,101413,18256,28889,38886,18023,4029,10430,25427
0,an1_crus1_lat,202002_cfos,CNOnCrusILT,14131,104619,8446,76553,112987,14493,29992,39839,23347,6110,16195,41507
1,an15_crus1_lat,202002_cfos,CNOnCrusILT,18873,120784,9436,78034,104278,16528,32744,44501,25736,5817,15043,51071
2,an16_crus1_lat,202002_cfos,CNOnCrusILT,12922,195193,8499,66166,128446,15069,24460,54946,26956,5820,17483,37086
3,an17_crus1_lat,202002_cfos,CNOnCrusILT,15642,124822,10916,65410,127096,14907,21939,35482,19703,3300,12943,24639
4,an2_crus1_lat,202002_cfos,CNOnCrusILT,21683,213378,10655,75745,89268,21604,50181,67685,33106,8703,18683,38544
5,an5_crus1_lat,202002_cfos,CNOnCrusILT,10248,135086,11068,99270,140634,23802,31944,54044,15992,6894,13874,34666
6,an6_crus1_lat,202002_cfos,CNOnCrusILT,14221,179445,14979,100974,152159,35459,47153,64083,21909,8714,28614,64910
7,an7_crus1_lat,202002_cfos,CNOnCrusILT,19556,208557,15675,85239,128776,26953,48121,66773,24837,5572,23490,43735
8,an8_crus1_lat,202002_cfos,CNOnCrusILT,22615,213200,16919,92653,156195,33108,49855,64475,35144,8378,27164,55907
9,an9_crus1_lat,202002_cfos,CNOnCrusILT,22036,180370,18422,93583,181528,35374,46237,72000,17714,5292,12870,33071
0,an10_crus1_lat,202002_cfos,CNOnCrusIRT,46399,313788,23894,93683,111885,48766,87091,97206,29417,11095,26496,77809
1,an11_crus1_lat,202002_cfos,CNOnCrusIRT,29328,166416,14168,86028,80157,41650,50158,80590,20765,6373,15601,38711
2,an12_crus1_lat,202002_cfos,CNOnCrusIRT,22378,251187,13706,78975,181236,25416,40443,55835,15866,4348,8974,26021
3,an13_crus1_lat,202002_cfos,CNOnCrusIRT,21382,185824,14939,79162,101374,40205,25210,44966,13434,2841,15992,30809
4,an14_crus1_lat,202002_cfos,CNOnCrusIRT,19091,98981,14658,87943,133205,27038,44977,49737,20699,6351,18517,26818
5,an18_crus1_lat,202002_cfos,CNOnCrusIRT,20377,118686,9945,68725,146641,17765,31892,48204,26846,5735,26715,48337
6,an19_crus1_lat,202002_cfos,CNOnCrusIRT,17831,135668,7682,67610,85825,17623,40499,46395,19616,4666,15594,30430
7,an20_crus1_lat,202002_cfos,CNOnCrusIRT,15167,150746,8097,64270,106011,14019,21837,46926,16353,5202,14875,37919
8,an3_crus1_lat,202002_cfos,CNOnCrusIRT,16117,127521,8797,64893,100056,18105,23325,43229,13527,4171,9771,25021
9,an4_crus1_lat,202002_cfos,CNOnCrusIRT,22192,155636,8919,60137,97098,15714,31912,41635,18539,4904,18632,27451
0,an26_crus1_lat,202002_cfos,Vehicle_control_reversal,18427,149752,8400,76587,125273,18710,39413,47648,21717,4593,9486,23052
1,an27_crus1_lat,202002_cfos,Vehicle_control_reversal,11921,100703,8676,59652,86244,12174,17206,30765,13499,4090,15720,32749
2,an28_crus1_lat,202002_cfos,Vehicle_control_reversal,4693,105758,2254,73800,78245,25498,18722,56391,30854,10348,10153,27256
3,an29_crus1_lat,202002_cfos,Vehicle_control_reversal,18050,125095,11833,63067,80643,27701,29351,53978,20920,4470,8823,18989
4,an30_crus1_lat,202002_cfos,Vehicle_control_reversal,14945,161790,10336,62107,117547,24687,33718,45416,14781,3465,9564,20694
5,an31_crus1_lat,202002_cfos,Vehicle_control_reversal,16137,101014,6725,61890,99603,15784,20193,36433,15324,5318,7276,22884
6,an32_crus1_lat,202002_cfos,Vehicle_control_reversal,18818,139130,13381,61120,75405,15724,30110,54320,28935,4386,9254,24777
7,an33_crus1_lat,202002_cfos,Vehicle_control_reversal,13251,133193,9299,72436,94221,17420,17970,35456,15645,3035,8147,18200
8,an34_crus1_lat,202002_cfos,Vehicle_control_reversal,18621,147441,10804,58951,70432,27820,37817,58105,15861,6080,9872,28161
0,an6_cno,202002_cfos,cno_injection,53756,125894,19885,58816,49654,13444,36642,34386,20852,2032,17948,19761
1,an7_cno,202002_cfos,cno_injection,31590,135904,16410,58416,37669,14273,36750,39777,31750,2310,23431,17126
2,an8_cno,202002_cfos,cno_injection,67734,156836,29966,77029,56308,10819,29581,24595,19853,2541,11787,19372
0,an0_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,3060,12872,869,12206,17525,1496,8270,4823,1731,754,1203,4305
1,an1_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,3196,18013,641,13545,16818,3106,9662,6912,2148,1327,4998,8910
2,an10_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,1609,7184,429,10987,12895,2433,7456,5417,789,885,630,2781
3,an11_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,2369,15878,713,12241,18293,2365,6870,8365,3715,1270,1529,5043
4,an12_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,2520,8010,356,12313,7424,2328,4480,5643,964,486,420,3658
5,an13_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,21104,110104,9349,63822,76312,18316,53445,47495,17740,6287,17697,37753
6,an14_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,3193,16278,709,12481,12902,3463,8674,7738,2180,970,3708,7637
7,an2_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,1498,7091,656,9072,13662,3890,5377,5381,2022,412,1705,5855
8,an3_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,2388,9171,458,11795,13736,2428,6763,6705,4176,1573,5163,6876
9,an4_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,4092,32443,833,16223,12777,3742,8943,12405,3715,1749,2945,6909
10,an6_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,2428,15351,1127,12899,16086,1908,6762,6930,2927,806,6870,6048
11,an7_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,3086,18187,1084,14961,20638,2994,6841,7273,2258,585,1748,5020
12,an8_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,4016,18720,1076,15528,19304,2008,7692,7230,1939,667,1577,5089
13,an9_mcherrydymaze,202002_cfos,dilutedvector_control_reversal,3413,10677,617,14116,20614,2472,6533,5341,1302,440,1925,3863
0,an1_vecctrl_ymaze,202002_cfos,lobVI_noreversal,18184,102632,9620,82254,87621,24161,48563,53318,22515,4204,31008,42717
1,an10_vecctrl_ymaze,202002_cfos,lobVI_noreversal,27930,141277,12225,77301,128444,31724,56014,57505,26828,9923,54152,62929
2,an2_vecctrl_ymaze,202002_cfos,lobVI_noreversal,17248,107210,8352,81404,153813,40746,43009,57856,19544,8256,48241,52193
3,an3_vecctrl_ymaze,202002_cfos,lobVI_noreversal,20395,145542,9075,86697,140172,24967,36918,61469,22023,7212,17370,34730
4,an4_vecctrl_ymaze,202002_cfos,lobVI_noreversal,22608,125416,9900,91419,136087,34924,61133,67249,27750,6097,32477,36803
5,an5_vecctrl_ymaze,202002_cfos,lobVI_noreversal,19385,104422,9942,74156,128981,27491,44919,46371,20841,6634,33355,42536
6,an6_vecctrl_ymaze,202002_cfos,lobVI_noreversal,22779,159399,11349,83607,165552,35196,52083,55725,27909,7930,57058,56660
7,an7_vecctrl_ymaze,202002_cfos,lobVI_noreversal,30136,178196,11271,99487,200914,37233,62205,47388,20044,7921,29185,41822
8,an8_vecctrl_ymaze,202002_cfos,lobVI_noreversal,26843,169441,10152,81106,169917,32215,44014,52720,20851,5897,23953,37218
9,an9_vecctrl_ymaze,202002_cfos,lobVI_noreversal,26580,187186,12877,91799,150126,42484,61549,70046,22483,8327,50791,48199
0,an1_saline,202002_cfos,saline_injection,67948,165938,26186,78887,45446,8298,24270,22284,17532,1256,14964,18801
1,an2_saline,202002_cfos,saline_injection,67962,173822,28384,70562,47735,9582,38615,37472,20702,1437,15349,22235
2,an3_saline,202002_cfos,saline_injection,87191,188931,34857,87127,53007,10383,34854,42407,23867,2436,11828,21918
3,an4_saline,202002_cfos,saline_injection,59537,144039,32592,74529,66205,12688,51331,35804,27136,1858,22883,24294
0,dadult_pc_crus1_2,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,2866,12252,1066,3331,11312,1507,3119,947,242,57,2,140
1,dadult_pc_crus1_5,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,2196,12506,1250,4920,8897,3708,4091,2916,799,321,18,199
2,dadult_pc_crus1_6,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,3222,25672,993,5305,12416,3482,3427,2477,194,221,0,1
3,dadult_pc_crus1_7,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,5106,17515,1739,5276,15961,2393,6236,3234,297,262,0,38
4,dadult_pc_crus1_8,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,5242,13023,1691,5840,12713,3049,6106,2807,636,239,0,73
5,dadult_pc_crus1_9,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,3129,12708,1246,3985,8991,2492,5170,1227,287,144,0,191
0,dadult_pc_lob6_13,201810_adultacutePC_ymaze_cfos,lobVI_reversal,5597,38661,2622,9293,7629,1973,3760,5928,2125,229,2,132
1,dadult_pc_lob6_15,201810_adultacutePC_ymaze_cfos,lobVI_reversal,4333,18426,1882,6284,7994,980,2636,2629,630,253,1,206
2,dadult_pc_lob6_17,201810_adultacutePC_ymaze_cfos,lobVI_reversal,3013,17529,1591,7567,6142,1214,2529,2593,618,169,0,130
3,dadult_pc_lob6_18,201810_adultacutePC_ymaze_cfos,lobVI_reversal,2524,14632,1321,7469,10579,1324,2076,2313,583,121,0,43
4,dadult_pc_lob6_19,201810_adultacutePC_ymaze_cfos,lobVI_reversal,4495,21610,1994,8921,8210,1704,3393,2835,519,201,1,213
5,dadult_pc_lob6_20,201810_adultacutePC_ymaze_cfos,lobVI_reversal,562,2485,166,1457,1439,218,399,700,370,56,0,24
6,dadult_pc_lob6_21,201810_adultacutePC_ymaze_cfos,lobVI_reversal,1141,4747,354,2646,4249,542,912,883,302,93,3,96
0,dadult_pc_crus1_1,201810_adultacutePC_ymaze_cfos,vector_control_reversal,3239,19578,1454,5781,16941,2816,4805,2651,567,336,2,467
1,dadult_pc_crus1_3,201810_adultacutePC_ymaze_cfos,vector_control_reversal,3663,13518,1611,6061,15107,3498,5253,1359,540,205,0,401
2,dadult_pc_crus1_4,201810_adultacutePC_ymaze_cfos,vector_control_reversal,2898,13834,1068,4178,9775,2296,3461,2270,470,239,0,75
3,dadult_pc_lob6_14,201810_adultacutePC_ymaze_cfos,vector_control_reversal,4922,24785,1992,7072,8088,937,2408,3173,910,209,2,65
4,dadult_pc_lob6_16,201810_adultacutePC_ymaze_cfos,vector_control_reversal,1318,18156,975,6872,4239,1522,2244,3035,1245,171,1,163
