,brain,batch,condition,Olfactory areas (T),Isocortex (T),Cortical subplate (T),Hippocampal formation (T),Cerebral nuclei (T),Thalamus (D),Hypothalamus (D),"Midbrain, motor related (Mes)","Midbrain, sensory related (Mes)","Midbrain, behavioral state related (Mes)",Medulla (Met),Pons (Met)
0,an011,202010_cfos,acquisition_day1,8781,31528,6734,24756,44383,10494,22216,23207,3303,1214,4228,11236
1,an012,202010_cfos,acquisition_day1,6061,31194,7533,25174,46497,9593,20070,24757,3040,2777,6257,11055
2,an013,202010_cfos,acquisition_day1,7685,19454,8890,22045,30732,6342,25578,20401,2216,1542,5129,13543
3,an014,202010_cfos,acquisition_day1,10546,24596,9264,24480,28220,14510,19210,22523,4211,1509,2030,8406
4,an015,202010_cfos,acquisition_day1,7132,18957,5498,21545,32780,5938,14106,14773,3442,1090,3524,8673
5,an016,202010_cfos,acquisition_day1,6958,23657,7781,23904,32367,10043,21223,19673,4045,1269,4570,11362
6,an017,202010_cfos,acquisition_day1,10770,20768,7405,28006,28977,11880,29564,23032,2923,1730,4211,11173
7,an018,202010_cfos,acquisition_day1,5604,18155,3229,22929,35730,7058,15440,13702,3656,2228,4146,10036
8,an019,202010_cfos,acquisition_day1,4605,21628,6143,26060,33947,9344,18825,18678,3472,1309,3536,10442
9,an020,202010_cfos,acquisition_day1,8303,16418,6019,24261,17687,6855,17902,13385,3240,1019,5951,8851
0,an021,202010_cfos,acquisition_day2,4008,12497,2685,11642,30824,7612,14284,13114,2450,1002,3356,9180
1,an022,202010_cfos,acquisition_day2,3288,19646,1731,15430,17402,4551,8310,10295,3362,1048,3003,5419
2,an023,202010_cfos,acquisition_day2,4272,16712,2016,19933,27586,4204,11005,9105,2385,1669,3466,7903
3,an024,202010_cfos,acquisition_day2,3855,10312,2681,18946,22351,4284,10432,11460,2933,1389,3530,7639
4,an025,202010_cfos,acquisition_day2,2441,10333,1634,16155,16911,3591,9061,8330,3333,697,3293,5407
5,an026,202010_cfos,acquisition_day2,4838,6589,466,11002,6602,2535,3509,2068,738,709,2266,2774
6,an027,202010_cfos,acquisition_day2,3787,10077,2841,15770,13097,4999,13079,10613,1950,1063,2079,4990
7,an028,202010_cfos,acquisition_day2,3732,16841,1864,18879,23652,2372,6594,6511,2869,742,2249,5605
8,an029,202010_cfos,acquisition_day2,1806,3018,552,4119,5320,928,3556,1144,576,107,3316,2528
9,an030,202010_cfos,acquisition_day2,944,5534,475,3550,4849,2370,2922,5547,1802,168,545,1672
0,an001,202010_cfos,habituation,7008,14945,3730,21759,22891,4407,10542,9518,2867,1352,3270,7290
1,an002,202010_cfos,habituation,6581,17958,3161,21671,25043,5675,10432,9524,2466,1067,4264,7556
2,an003,202010_cfos,habituation,6074,16915,4918,24475,21933,5502,15126,9453,2499,981,2992,7352
3,an004,202010_cfos,habituation,6694,19450,5255,29007,36545,8488,14765,11401,2945,993,4307,7741
4,an005,202010_cfos,habituation,5289,13763,2881,14491,21088,2440,6223,2780,1862,424,3367,5327
5,an006,202010_cfos,habituation,6930,27048,2452,26023,34732,4985,10842,10052,3564,2207,5276,7972
6,an007,202010_cfos,habituation,6430,17499,3745,29186,30961,6802,14330,12774,5910,1131,4537,7360
7,an008,202010_cfos,habituation,4044,13417,1552,20554,19022,2626,6414,5715,1672,678,3469,3847
8,an009,202010_cfos,habituation,3717,11088,1513,16964,17666,2973,5984,8161,3000,545,1426,3423
9,an010,202010_cfos,habituation,4476,15099,4026,22106,17373,4366,10983,11506,3800,896,2150,4608
0,an1,201904_ymaze_cfos,CNO_control_no_reversal,68735,351608,20456,139091,69441,26916,32816,47898,31962,4669,30547,39630
1,an2,201904_ymaze_cfos,CNO_control_no_reversal,50931,150041,16687,78368,54799,13105,28460,21835,18578,3175,19128,26545
2,an3,201904_ymaze_cfos,CNO_control_no_reversal,70306,301929,16095,90266,40697,11649,24994,19808,19187,2428,20417,25620
3,an4,201904_ymaze_cfos,CNO_control_no_reversal,20373,127832,13527,49967,34394,10633,17977,16703,12351,2536,11055,17850
4,an5,201904_ymaze_cfos,CNO_control_no_reversal,83289,399784,22551,106703,149751,38692,55183,48923,29063,5962,15497,30339
5,an6,201904_ymaze_cfos,CNO_control_no_reversal,30099,187939,11528,88210,49722,17949,28184,25397,17797,3764,13062,25241
6,an7,201904_ymaze_cfos,CNO_control_no_reversal,26178,220130,15209,101809,58616,26348,31345,35240,18183,4312,17587,24248
7,an8,201904_ymaze_cfos,CNO_control_no_reversal,22347,70919,5839,29576,26893,4855,13649,8783,4605,1293,7485,12442
0,an10,201904_ymaze_cfos,CNO_control_reversal,43662,98395,8337,54827,32243,17785,18147,19251,12144,1666,13997,13752
1,an11,201904_ymaze_cfos,CNO_control_reversal,18361,79817,3981,39839,12248,10772,12278,17763,13414,1376,9335,13726
2,an12,201904_ymaze_cfos,CNO_control_reversal,87146,328928,22189,136986,89145,36446,39919,42692,31984,3809,22113,27052
3,an13,201904_ymaze_cfos,CNO_control_reversal,35569,167344,13185,67313,68158,39205,25645,35850,17877,3489,19728,23526
4,an14,201904_ymaze_cfos,CNO_control_reversal,35460,189571,16494,81846,89503,41751,23218,36970,14285,2735,7370,15805
5,an15,201904_ymaze_cfos,CNO_control_reversal,21723,141367,15428,68733,130893,51648,35687,66089,16745,7407,13565,29835
6,an16,201904_ymaze_cfos,CNO_control_reversal,19354,93501,14414,82030,102269,54458,25822,66178,15823,6450,20484,34848
7,an17,201904_ymaze_cfos,CNO_control_reversal,46065,307679,31217,169657,196427,115203,60156,107927,32059,8542,30922,45936
8,an18,201904_ymaze_cfos,CNO_control_reversal,24663,216618,17236,93195,153504,93900,46669,81251,15313,8217,13758,35102
9,an9,201904_ymaze_cfos,CNO_control_reversal,14933,49374,5802,24491,14195,6532,7996,10134,9064,1040,6726,12296
0,an29,201904_ymaze_cfos,homecage_control,34910,251741,19637,87506,94366,42258,21555,40228,25347,3479,16200,25261
1,an30,201904_ymaze_cfos,homecage_control,38071,269992,16334,80127,101817,36540,28126,36254,22666,3196,17830,25647
2,an31,201904_ymaze_cfos,homecage_control,57527,272009,23072,101439,112338,43334,30404,38377,22473,2549,15428,20924
3,an32,201904_ymaze_cfos,homecage_control,14705,191306,14358,77283,78236,38342,17454,37818,20443,2745,10738,15727
4,an33,201904_ymaze_cfos,homecage_control,30049,220593,11979,66265,79012,28475,12821,29423,18372,1968,11050,18735
0,an19,201904_ymaze_cfos,lobVI_reversal,21077,58916,7121,48742,27041,5861,14957,11116,9408,1557,7042,14740
1,an21,201904_ymaze_cfos,lobVI_reversal,14527,47704,2715,18623,11495,3351,8063,6747,4774,713,4823,5873
2,an22,201904_ymaze_cfos,lobVI_reversal,18246,85130,5574,28393,22756,3618,11356,10467,10231,1137,6228,11939
3,an23,201904_ymaze_cfos,lobVI_reversal,5057,26827,2207,12773,14357,3458,7970,9901,2974,1467,3421,8905
4,an24,201904_ymaze_cfos,lobVI_reversal,8746,90715,6177,42179,69986,8655,15333,26266,8253,3689,6111,15193
5,an25,201904_ymaze_cfos,lobVI_reversal,13856,72814,7988,34085,60765,7540,19869,17841,5770,3331,5124,12230
6,an26,201904_ymaze_cfos,lobVI_reversal,5818,94978,3419,35759,43144,16123,17255,29093,9162,4544,7242,14985
7,an27,201904_ymaze_cfos,lobVI_reversal,25295,90438,7360,34514,37324,3827,19054,11659,7908,1798,6969,14632
8,an28,201904_ymaze_cfos,lobVI_reversal,36572,188942,9454,50962,35645,7062,22537,17986,15712,2393,14255,20045
0,an19,201908_tpham_ymaze_cfos,CNO_control_reversal,580,1632,174,975,1864,1360,269,341,221,17,276,246
1,an20,201908_tpham_ymaze_cfos,CNO_control_reversal,647,1516,317,1001,1381,1057,349,394,397,18,260,341
2,an21,201908_tpham_ymaze_cfos,CNO_control_reversal,835,2713,447,1346,2704,1137,390,393,267,39,369,412
3,an22,201908_tpham_ymaze_cfos,CNO_control_reversal,2837,10578,1100,4630,7493,2363,2129,2803,1179,271,1882,1937
4,an23,201908_tpham_ymaze_cfos,CNO_control_reversal,3383,11384,1299,4936,6353,2313,2067,2940,1172,265,2237,2048
5,an24,201908_tpham_ymaze_cfos,CNO_control_reversal,2310,10359,960,4077,7031,2270,1665,2914,1213,264,1530,2025
6,an25,201908_tpham_ymaze_cfos,CNO_control_reversal,2611,10306,725,3551,3984,1490,1745,2722,1143,234,1736,1710
0,an10,201908_tpham_ymaze_cfos,CNOnCrusILT,554,2020,373,1443,1229,2103,537,698,336,64,683,782
1,an11,201908_tpham_ymaze_cfos,CNOnCrusILT,1364,3407,729,2417,3967,2190,622,1151,530,92,519,800
2,an12,201908_tpham_ymaze_cfos,CNOnCrusILT,676,1175,293,1058,1649,1443,364,494,197,45,346,409
3,an13,201908_tpham_ymaze_cfos,CNOnCrusILT,1240,2594,535,1967,3156,1669,596,720,303,54,260,537
4,an14,201908_tpham_ymaze_cfos,CNOnCrusILT,1016,4408,442,1996,3371,1992,426,681,251,46,196,307
5,an16,201908_tpham_ymaze_cfos,CNOnCrusILT,2905,18973,1692,4709,7187,2159,1659,2807,1267,235,1264,1591
6,an17,201908_tpham_ymaze_cfos,CNOnCrusILT,3309,12010,1583,5071,8119,2316,2287,2975,1167,230,1828,1964
7,an18,201908_tpham_ymaze_cfos,CNOnCrusILT,4338,15199,1792,5998,9096,2096,2365,3128,1172,264,2172,2157
0,an01,201908_tpham_ymaze_cfos,CNOnCrusIRT,830,1385,263,1246,1933,1433,477,315,158,28,150,284
1,an02,201908_tpham_ymaze_cfos,CNOnCrusIRT,364,2998,164,1028,1735,939,291,431,140,69,243,295
2,an03,201908_tpham_ymaze_cfos,CNOnCrusIRT,849,1731,413,998,2164,1222,332,224,119,22,222,345
3,an04,201908_tpham_ymaze_cfos,CNOnCrusIRT,564,2041,288,873,1790,1228,187,144,63,7,146,178
4,an05,201908_tpham_ymaze_cfos,CNOnCrusIRT,1129,2609,462,1544,2417,1133,411,513,247,55,345,444
5,an06,201908_tpham_ymaze_cfos,CNOnCrusIRT,1249,6795,798,2762,5021,1220,1540,2392,705,189,613,945
6,an07,201908_tpham_ymaze_cfos,CNOnCrusIRT,1318,8247,611,2918,4342,1259,1048,2051,802,233,1164,1225
7,an08,201908_tpham_ymaze_cfos,CNOnCrusIRT,1553,5843,818,2888,3384,1435,1540,2460,857,207,1182,1591
8,an09,201908_tpham_ymaze_cfos,CNOnCrusIRT,1812,5272,743,2677,2579,1117,1517,2202,761,212,1088,1455
0,an21_crus1_lat,202002_cfos,CNO_control_reversal,12436,117594,9152,81245,106986,20294,34329,56466,23051,6410,10089,30335
