,brain,batch,condition,Olfactory areas (T),Isocortex (T),Cortical subplate (T),Hippocampal formation (T),Cerebral nuclei (T),Thalamus (D),Hypothalamus (D),"Midbrain, motor related (Mes)","Midbrain, sensory related (Mes)","Midbrain, behavioral state related (Mes)",Medulla (Met),Pons (Met)
0,an1,201904_ymaze_cfos,CNO_control_no_reversal,0.6703068466854689,0.7683554029229066,-0.5699743812363484,0.8509383677357344,-1.4740488459754373,-1.0302537958666802,-1.4022848274573139,-0.12614224549375314,0.3958675564055284,-0.3713974489459131,1.124951750626572,0.4083377269314568
1,an2,201904_ymaze_cfos,CNO_control_no_reversal,1.7885736547893822,-1.0940340133251343,2.450398035758528,0.9562824844687152,-0.5180599462876808,-1.2148981070714673,1.1430838156851553,-0.7198538731043337,0.6527387475025992,0.3140567768204826,1.6992617288196072,1.3470248716147482
2,an3,201904_ymaze_cfos,CNO_control_no_reversal,1.939474548589304,1.980944051184564,-0.2026065052803129,-0.45007105046475493,-1.9649196880325002,-1.6401319040219906,-1.2990840775920254,-1.5733845459017097,-0.780261494211472,-1.3140098993004319,0.6453277194315582,-0.2078600084927922
3,an4,201904_ymaze_cfos,CNO_control_no_reversal,-0.13299416377008796,0.26742854562066315,4.023499155756086,0.10034234110744468,-0.8378209396145305,-1.0040734622587877,0.48464414519391147,-0.45601371346108077,0.37030763191490057,0.8766135760843256,0.8100619077132126,1.1578761129713138
4,an5,201904_ymaze_cfos,CNO_control_no_reversal,0.8805041152959451,0.7392369706535529,-0.7917435709056755,-2.461296471321737,0.5743907074652693,-0.6523042458605464,0.7682352322099257,-0.46771127514309874,-0.8356039858100563,0.0,-1.4693634177572952,-1.1272170313324184
5,an6,201904_ymaze_cfos,CNO_control_no_reversal,-0.1521104391834322,0.17679618819756926,-0.7284034138253843,1.8414387608061886,-0.9221116121341483,-0.805251084692125,0.8299762458708019,-0.3928472989229662,0.17806758652418336,0.8645057784920226,-0.08781154939723292,0.8876205034249552
6,an7,201904_ymaze_cfos,CNO_control_no_reversal,-0.7989362011424296,0.24194866415766425,0.13976426426857974,1.7762920383283787,-0.8781233254236375,-0.3608991133765873,0.5433167089360024,0.19009414523469811,-0.5228802097958677,0.8067169629048164,0.46450532368725644,0.0
7,an8,201904_ymaze_cfos,CNO_control_no_reversal,1.845926147522616,-0.5419859674988892,0.6140247236473823,-0.36041350603593636,-0.08573872418466819,-1.3991292435216307,1.9051475495092187,-0.9103344884950196,-2.050281149009616,0.08529509571463399,1.1913173280975233,1.8054105488229897
0,an10,201904_ymaze_cfos,CNO_control_reversal,2.852779299881545,-1.4273189466286984,-0.22189336242845126,1.0406761394031474,-1.013426975657218,0.0,0.5652229083538004,0.0,0.28678250588977666,-0.6142818451668306,1.9855931647874185,-0.07280105063055625
1,an11,201904_ymaze_cfos,CNO_control_reversal,0.6385687882052655,-0.4862663183646081,-2.3854944339226036,1.4797917908166092,-2.27040626180018,-0.3254112842277217,0.3742050997494999,1.0950570875549726,3.7679521899028203,-0.08111245467942695,1.747670407074348,1.7354530346882235
2,an12,201904_ymaze_cfos,CNO_control_reversal,1.558182536142884,0.2169102309132929,-0.05503940500078691,0.6448308043797625,-0.8365255114619818,-0.5253895322989133,-0.4399191737416398,-0.49527166687269825,0.36763703553162835,-0.9601917515356099,-0.18266543228381774,-1.0892678725717668
3,an13,201904_ymaze_cfos,CNO_control_reversal,0.2103757562948109,-0.8554785945047212,-0.06687127689425408,-1.0819426758023116,0.0,1.0572428301987273,0.0,0.689719696784202,0.0,0.4053930256252783,1.4950137070906486,0.3711530967070738
4,an14,201904_ymaze_cfos,CNO_control_reversal,0.0,-0.5082946736740139,1.0930307345306298,0.0,0.8420716237954448,1.0281838608498808,-0.9387382710014304,0.5286235962961803,-1.448955752949662,-0.6472643796840424,-1.791896373928935,-1.3611667876600388
5,an15,201904_ymaze_cfos,CNO_control_reversal,-1.180924514391002,-2.5667182208162367,0.0,-2.0548792127109716,2.480573042148205,1.541124890482873,1.200682418954926,3.0926013149288227,-1.086862679171025,3.6481195773138237,-0.5554010710244073,0.8066778205061658
6,an16,201904_ymaze_cfos,CNO_control_reversal,-1.186270596189021,-3.763401067036796,0.3193682433280743,0.35633917293668715,1.6917355736232824,2.2635219203150108,-0.16958602585749688,3.869528642768578,-0.8262139870089693,3.4625263070507537,1.5050435604479413,2.358433912219215
7,an17,201904_ymaze_cfos,CNO_control_reversal,-1.0212576390707386,-1.9591042792512012,0.3724616675891881,-0.01064260616273121,1.107740784775625,2.1864486310981386,0.3154025615037695,2.1182316992289087,-1.1057388312145606,0.790307510675527,0.0,-0.20152404455588674
8,an18,201904_ymaze_cfos,CNO_control_reversal,-1.412012454215061,-1.884339956685902,-1.154535043659188,-1.93852453564743,1.722836891661733,3.0010651494462355,1.0574001500371306,2.583692745965678,-2.5271282914797406,2.4438924289959973,-1.2727625005235184,0.20790079095922184
9,an9,201904_ymaze_cfos,CNO_control_reversal,1.1948013481151767,-1.2466206509453748,2.737209140336173,0.19885307411602196,-1.2759709524869007,-0.6091148196451068,-0.05225467599143604,0.27747333274384856,3.466107965054052,0.20131017443960408,1.9180110811025488,3.433089776430186
0,an29,201904_ymaze_cfos,homecage_control,-0.47846229578148414,0.24073780323923363,1.0717621362236827,-0.9652364989888059,0.3030026907907538,0.4938182980661721,-2.0604692458228104,0.1830880274209818,0.6017890967159624,-0.4603432615406841,-0.31612635015150176,-0.3796379514921616
1,an30,201904_ymaze_cfos,homecage_control,-0.32577341061681925,0.6120291129336167,-0.4435079236090321,-1.822519680806789,0.5333070960822908,0.03688708864638425,-0.9705927981424654,-0.23584601142887285,-0.17784167438642048,-0.7652538293357373,-0.06531605350039862,-0.40249455425416636
2,an31,201904_ymaze_cfos,homecage_control,0.5923880011154994,0.0,1.496698213711676,-0.6504517654185478,0.571989487492706,0.2500942640598972,-1.0280390592212258,-0.336353722132348,-0.6897539817084876,-1.5038111476855835,-0.7917186982910664,-1.3811539743476948
3,an32,201904_ymaze_cfos,homecage_control,-1.5199649477038049,0.016618957503852266,0.5249390561092144,0.08753657795137626,0.5394769989516961,0.9641245377948248,-1.9297325958816802,0.8943783990833684,0.7847444399962382,-0.43953301851755766,-0.8139840840971533,-1.1764822900129042
4,an33,201904_ymaze_cfos,homecage_control,-0.30171222198491887,0.966016594056817,-0.8528054029150779,-1.3895269521201574,0.5032538853305732,0.02982965445790328,-3.0604767220396325,-0.1147094470485636,0.026344840839536456,-1.3438676542643806,-0.7855824557225272,-0.6538945999976122
0,an19,201904_ymaze_cfos,lobVI_reversal,1.2275343573435715,-2.1198790163869594,1.5260897143757959,4.186268671393066,-0.37349350489924654,-1.2828496241888447,1.9435197041224135,-0.5138347807143082,1.106101630824419,0.45831747278750057,0.5410005015062644,2.3288752581373857
1,an21,201904_ymaze_cfos,lobVI_reversal,2.067002490892703,0.019300661280551513,-1.3144137159583436,-0.22333959619805058,-1.2324865421662268,-1.2762612568306109,1.5314053598503041,-0.3206417295306593,0.3775454768290326,-0.3111283332355571,1.3765365645614989,0.3578319715735427
2,an22,201904_ymaze_cfos,lobVI_reversal,0.895093558409537,0.5491331240916679,0.045579108213633285,-0.9697866335168782,-0.7462618999782253,-1.7000868502341697,0.384405647699024,-0.5242815967172085,2.1263653514114864,-0.4400588936056198,0.27872396139528294,1.387539301028259
3,an23,201904_ymaze_cfos,lobVI_reversal,-0.5544272473759507,-1.9009473019322745,-0.9723429785141193,-1.1835286064786212,0.3635897513289584,-0.859435451893952,3.6960686111436556,2.4695251129718927,-0.7601054750706537,5.039086381958725,1.0035113745320114,4.859951707455907
4,an24,201904_ymaze_cfos,lobVI_reversal,-1.4899476149374782,-1.297478137005906,-1.4464346636696956,-0.46936979543780005,2.8758672657340303,-1.1440427496782106,0.15381263935981507,1.7351465823003698,-1.1782956312744532,3.5790011323828956,-0.8670366956322518,0.8703565343788647
5,an25,201904_ymaze_cfos,lobVI_reversal,-0.4635242751366788,-1.7325713515294874,1.3304921495521624,-1.065614412523575,2.8858464636680594,-1.1374983552787397,3.191290101640071,0.6277203968802413,-2.0465787138125484,3.8727957448876844,-0.9549598573254984,0.5038838686979706
6,an26,201904_ymaze_cfos,lobVI_reversal,-1.8472671522703963,-0.5899864400190389,-3.74861560745867,-1.2831902531055746,0.6126209033957146,0.18943180344000024,1.4089456365307045,2.6837418652081024,-0.3342974155145367,5.830510743775725,-0.14824189411522773,1.155478007935386
7,an27,201904_ymaze_cfos,lobVI_reversal,1.4148824846702488,-0.4062321758783044,0.6810834390987649,-0.9487195453294924,0.322584860245151,-1.80036844050902,2.8295273874663254,-0.7565273324449253,-0.6978519802601975,0.489018388623801,-0.016248227300110135,1.4483581289883811
8,an28,201904_ymaze_cfos,lobVI_reversal,0.9770366530250608,1.570023807644107,-0.9160890450983374,-1.6680381799860975,-1.354880661882339,-1.7033649356482836,0.46405262495706584,-0.8764396649046634,0.4397089324610494,-0.21478952746110994,0.9202039760100231,0.5780046848403156
0,an19,201908_tpham_ymaze_cfos,CNO_control_reversal,-0.4399650717954354,-1.8032503729178027,-0.9530492463274229,0.14806903579768488,1.4311558686477055,2.7592611502664166,-1.781879096881744,-1.7189323102633056,-0.37636185459751165,-2.084914803657101,-0.8697967744884927,-2.5691624258961046
1,an20,201908_tpham_ymaze_cfos,CNO_control_reversal,1.45135249985644,-2.018113647536764,2.037575233463983,1.6369466139025601,-0.3736550801866449,1.9161757762194849,-0.002277500952293937,-1.2117331147452863,3.549311522458676,-1.9871761120844031,-0.9719225082690522,-0.6946052050456181
2,an21,201908_tpham_ymaze_cfos,CNO_control_reversal,0.0,-0.6790778948540713,1.9079256932500672,0.0,1.773983690406178,1.0352819871913603,-1.556737431593449,-2.1575564363152724,-0.9707934471608302,-1.4288513163250711,-1.0302597428691158,-1.6860771942327808
3,an22,201908_tpham_ymaze_cfos,CNO_control_reversal,-0.5301229825583227,0.0,0.0,-0.7020417379099948,0.0,-0.04339636290003131,1.3514449666422568,0.0,0.0,0.16641124193259885,0.7639440514254019,0.0
4,an23,201908_tpham_ymaze_cfos,CNO_control_reversal,1.3642703881060865,0.3337207567704631,0.6309843987769214,0.07615547217409446,-1.1227244101164846,-0.11988696791862975,0.8711562918944545,0.0766098568588166,-0.17441066923637835,0.0,1.668112025858487,0.17873150132102736
5,an24,201908_tpham_ymaze_cfos,CNO_control_reversal,-2.0764405077875434,0.36412533347557924,-0.2839354246515743,-1.992505457876274,0.028874694804926514,0.0,0.0,0.48484286826531636,0.5005830358307947,0.306253271265321,0.0,0.8185398572922536
6,an25,201908_tpham_ymaze_cfos,CNO_control_reversal,1.024480690431499,1.4682313560091065,-0.827701561699707,-2.0345744628079774,-2.2031098193027634,-0.38909145094499,1.3967282193926727,0.8209181264440473,0.9339309634644885,0.35941251071331304,1.5389596534961154,0.569602207820714
0,an10,201908_tpham_ymaze_cfos,CNOnCrusILT,-4.056872394186015,-2.3189502973326075,0.9869821705186674,2.202707692928187,-2.5710940313582933,3.3508842901316056,0.6347762601526202,-0.4203912628689551,0.1596314484341282,-0.3045269908093891,2.6175808146161637,3.175454887417544
1,an11,201908_tpham_ymaze_cfos,CNOnCrusILT,0.1880176966724276,-2.1829852818706303,1.9907283384924244,2.6867844244077532,1.0565441271008265,1.5477683938879545,-1.6057155049952037,-0.4078873881896183,-0.04588232432406878,-0.6542319550228389,-1.5469966616729391,-0.6165674583115699
2,an12,201908_tpham_ymaze_cfos,CNOnCrusILT,1.2328914809128273,-3.5029363093328483,1.216281407940925,1.5338603534707285,0.37180732765488006,2.9141075943956603,-0.12252795818451855,-0.6531398163327338,-0.9681316866134969,-0.48918571556937274,0.08301708662639774,0.10832418037368652
3,an13,201908_tpham_ymaze_cfos,CNOnCrusILT,2.567558703328204,-2.217336119239128,1.723624716452649,4.293359722985016,1.3387843046906798,1.530671142565397,-0.2668907477371934,-1.1213706420025047,-1.2874378178568426,-1.224839063589706,-2.7868273759449815,-1.391847417827518
4,an14,201908_tpham_ymaze_cfos,CNOnCrusILT,-1.4005010294856508,0.598582625589186,0.17712733409249196,1.9293426081268537,1.0485038852193065,1.7636279441010927,-2.6477185753725103,-1.5906010692630603,-2.2130929692638848,-1.6592958107808802,-3.53806499818484,-4.047251834819245
