,brain,batch,condition,Telencephalon,Diencephalon,Mesencephalon,Metencephalon(no_cerebellum)
1,an2_saline,202002_cfos,saline_injection,388465,48197,88865,37584
2,an3_saline,202002_cfos,saline_injection,451113,45237,102244,33746
3,an4_saline,202002_cfos,saline_injection,376902,64019,94932,47177
0,dadult_pc_crus1_2,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,30827,4626,2401,142
1,dadult_pc_crus1_5,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,29769,7799,7423,217
2,dadult_pc_crus1_6,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,47608,6909,3972,1
3,dadult_pc_crus1_7,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,45597,8629,6054,38
4,dadult_pc_crus1_8,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,38509,9155,6165,73
5,dadult_pc_crus1_9,201810_adultacutePC_ymaze_cfos,crusI_bilateral_reversal,30059,7662,3686,191
0,dadult_pc_lob6_13,201810_adultacutePC_ymaze_cfos,lobVI_reversal,63802,5733,12113,134
1,dadult_pc_lob6_15,201810_adultacutePC_ymaze_cfos,lobVI_reversal,38919,3616,5884,207
2,dadult_pc_lob6_17,201810_adultacutePC_ymaze_cfos,lobVI_reversal,35842,3743,5470,130
3,dadult_pc_lob6_18,201810_adultacutePC_ymaze_cfos,lobVI_reversal,36525,3400,4771,43
4,dadult_pc_lob6_19,201810_adultacutePC_ymaze_cfos,lobVI_reversal,45230,5097,6079,214
5,dadult_pc_lob6_20,201810_adultacutePC_ymaze_cfos,lobVI_reversal,6109,617,1700,24
6,dadult_pc_lob6_21,201810_adultacutePC_ymaze_cfos,lobVI_reversal,13137,1454,2389,99
0,dadult_pc_crus1_1,201810_adultacutePC_ymaze_cfos,vector_control_reversal,46993,7621,6841,469
1,dadult_pc_crus1_3,201810_adultacutePC_ymaze_cfos,vector_control_reversal,39960,8751,5286,401
2,dadult_pc_crus1_4,201810_adultacutePC_ymaze_cfos,vector_control_reversal,31753,5757,5322,75
3,dadult_pc_lob6_14,201810_adultacutePC_ymaze_cfos,vector_control_reversal,46859,3345,6646,67
4,dadult_pc_lob6_16,201810_adultacutePC_ymaze_cfos,vector_control_reversal,31560,3766,6079,164
