,brain,batch,condition,Anterior amygdalar area,Basolateral amygdalar nucleus,Central amygdalar nucleus,Cortical amygdalar area,Intercalated amygdalar nucleus,Lateral amygdalar nucleus,Posterior amygdalar nucleus,Somatomotor areas,Somatosensory areas,Gustatory areas,Visceral area,Auditory areas,Visual areas,Anterior cingulate area,Prelimbic area,Infralimbic area,Orbital area,Retrosplenial area,Posterior parietal association areas,Temporal association areas,Perirhinal area,Ectorhinal area,Hippocampal region,Retrohippocampal region,Endopiriform nucleus,Caudoputamen,Nucleus accumbens,Fundus of striatum,Lateral septal nucleus,Septofimbrial nucleus,Septohippocampal nucleus,Pallidum,Ventral anterior-lateral complex of the thalamus,Ventral medial nucleus of the thalamus,Ventral posterolateral nucleus of the thalamus,"""Ventral posterolateral nucleus of the thalamus, parvicellular part""",Ventral posteromedial nucleus of the thalamus,"""Ventral posteromedial nucleus of the thalamus, parvicellular part""",Posterior triangular thalamic nucleus,Subparafascicular nucleus,Subparafascicular area,Lateral posterior nucleus of the thalamus,Posterior complex of the thalamus,Anteroventral nucleus of thalamus,Anteromedial nucleus,Anterodorsal nucleus,Interanteromedial nucleus of the thalamus,Interanterodorsal nucleus of the thalamus,Lateral dorsal nucleus of thalamus,Intermediodorsal nucleus of the thalamus,Submedial nucleus of the thalamus,Parataenial nucleus,Paraventricular nucleus of the thalamus,Nucleus of reuniens,Rhomboid nucleus,Central medial nucleus of the thalamus,Paracentral nucleus,Central lateral nucleus of the thalamus,Parafascicular nucleus,Reticular nucleus of the thalamus,Medial habenula,Lateral habenula,Arcuate hypothalamic nucleus,Anterodorsal preoptic nucleus,Anteroventral preoptic nucleus,Anteroventral periventricular nucleus,Medial preoptic area,Posterodorsal preoptic nucleus,Parastrial nucleus,"""Periventricular hypothalamic nucleus, posterior part""","""Periventricular hypothalamic nucleus, preoptic part""",Subparaventricular zone,Suprachiasmatic nucleus,Ventrolateral preoptic nucleus,Mammillary body,Median preoptic nucleus,Dorsal premammillary nucleus,Ventral premammillary nucleus,Lateral hypothalamic area,Lateral preoptic area,Retrochiasmatic area,Subthalamic nucleus,Tuberal nucleus,Zona incerta,Median eminence,"""Superior colliculus, sensory related""",Nucleus of the brachium of the inferior colliculus,Nucleus sagulum,Parabigeminal nucleus,"""Substantia nigra, reticular part""",Ventral tegmental area,"""Midbrain reticular nucleus, retrorubral area""","""Superior colliculus, motor related""",Periaqueductal gray,Pretectal region,Cuneiform nucleus,Red nucleus,Oculomotor nucleus,Paratrochlear nucleus,Ventral tegmental nucleus,Anterior tegmental nucleus,"""Substantia nigra, compact part""",Pedunculopontine nucleus,Midbrain raphe nuclei,Parabrachial nucleus,Superior olivary complex,Barrington's nucleus,Dorsal tegmental nucleus,Posterodorsal tegmental nucleus,Pontine central gray,Pontine gray,"""Pontine reticular nucleus, caudal part""",Supragenual nucleus,Supratrigeminal nucleus,Tegmental reticular nucleus,Motor nucleus of trigeminal,Laterodorsal tegmental nucleus,Nucleus incertus,Pontine reticular nucleus,Nucleus raphe pontis,Subceruleus nucleus,Sublaterodorsal nucleus
0,an021,202010_cfos,acquisition_day2,132,612,301,786,60,232,259,2383,5048,117,286,171,367,810,88,45,257,1618,86,139,168,235,8256,2208,424,19793,970,183,303,2,0,4407,99,94,113,0,248,0,83,194,0,1510,303,37,36,18,16,57,426,55,12,85,305,66,7,39,25,137,63,148,2,150,16,286,50,36,579,1,74,0,0,0,19,352,515,0,8,25,1900,559,105,114,559,428,0,0,74,1,46,0,246,0,0,3892,2620,768,227,4,11,19,60,0,381,589,1300,145,17,26,5,244,599,0,0,124,206,100,141,104,867,54,80,175
1,an022,202010_cfos,acquisition_day2,119,245,262,337,11,153,243,4063,6248,38,418,449,675,2221,427,208,828,1533,61,136,66,144,9516,4720,271,10598,341,55,421,2,1,2674,50,276,29,0,181,0,91,209,0,467,204,29,9,21,6,6,319,20,18,81,160,128,7,44,10,48,48,151,0,33,5,203,59,11,342,1,111,0,0,0,0,29,513,0,5,5,1060,342,10,33,178,377,0,0,34,5,9,0,88,0,0,5188,446,579,96,13,15,11,0,0,192,833,1054,25,5,12,1,101,149,0,0,79,121,45,77,45,269,19,7,64
2,an023,202010_cfos,acquisition_day2,453,353,271,318,29,260,143,2937,5969,104,301,383,1723,1244,173,38,633,1660,85,120,78,164,10736,7215,328,13900,452,29,381,8,2,5974,20,131,54,0,132,0,49,203,0,411,213,58,6,17,7,6,239,3,9,45,74,91,16,24,3,32,45,218,0,59,12,94,17,42,379,3,67,0,0,0,21,129,312,0,2,11,1210,410,55,111,282,610,0,0,37,8,38,0,338,0,0,2995,607,568,221,4,13,2,0,0,546,1050,620,137,13,16,2,212,600,0,0,33,182,124,151,127,671,62,21,151
3,an024,202010_cfos,acquisition_day2,248,616,555,443,28,172,355,1503,3514,93,253,196,617,943,170,101,334,1428,81,136,107,287,10698,6729,320,11590,594,79,348,13,3,4379,71,232,89,0,212,0,74,219,3,414,191,18,21,2,7,9,257,22,50,61,77,37,11,13,14,54,38,129,0,15,3,103,17,34,388,0,79,0,0,0,1,64,338,6,33,15,1641,357,3,85,144,519,0,0,42,2,37,0,333,0,0,4630,915,982,166,0,9,10,86,0,451,848,1071,65,11,28,8,220,128,0,0,130,134,153,245,68,789,109,18,133
4,an025,202010_cfos,acquisition_day2,154,445,168,320,31,129,151,1383,3616,80,249,272,873,623,93,54,317,1647,66,183,111,226,9551,5104,106,7034,298,7,300,58,0,5468,29,201,74,0,75,0,43,172,2,398,46,12,17,6,8,5,79,1,27,24,14,14,0,6,8,58,32,154,0,59,4,37,8,83,170,1,13,0,0,0,0,77,331,1,0,4,957,411,1,54,448,357,0,0,39,15,15,0,122,0,0,3299,338,979,58,2,0,9,8,0,251,386,977,44,8,2,0,99,293,0,0,93,39,107,142,95,507,68,30,156
5,an026,202010_cfos,acquisition_day2,137,146,90,209,3,48,30,675,1135,207,281,143,887,230,26,25,679,1075,144,63,228,326,5451,4686,24,892,14,62,63,0,0,2092,50,71,22,0,95,0,63,22,0,603,333,10,13,0,5,0,123,6,27,1,12,28,2,21,0,18,60,29,0,4,0,2,1,10,40,0,4,0,0,0,2,30,552,0,3,12,493,86,41,21,294,167,0,0,35,12,28,0,97,0,0,697,89,234,31,3,67,14,8,0,110,544,292,54,4,13,0,14,411,0,0,2,32,6,2,2,116,6,0,0
6,an027,202010_cfos,acquisition_day2,315,753,436,421,51,280,190,1165,3245,36,125,259,1823,373,13,20,144,1367,80,324,72,236,9251,5070,298,3840,183,36,259,12,0,4413,76,822,99,0,148,0,78,295,0,306,68,81,45,10,1,11,118,0,119,22,44,77,0,3,4,32,42,257,0,88,5,70,17,21,272,2,48,0,0,0,0,178,741,3,9,7,1493,623,8,87,608,827,0,0,100,1,70,0,389,0,0,3923,1162,559,83,5,20,1,1,0,352,631,555,86,4,1,2,58,202,0,0,35,90,32,30,9,444,19,9,14
7,an028,202010_cfos,acquisition_day2,240,501,172,299,11,312,76,2467,6182,147,141,271,855,3354,270,116,552,1129,136,109,47,151,9612,7402,241,15182,447,60,460,8,2,2747,35,113,43,0,76,0,24,228,5,81,83,2,18,5,1,10,73,4,6,14,43,30,3,10,1,10,11,199,0,8,11,10,12,41,90,0,20,0,0,0,17,100,341,0,0,4,579,506,118,76,189,265,0,0,9,5,15,0,102,0,0,2346,470,758,84,0,29,1,5,0,222,499,709,92,2,0,0,11,331,0,0,58,6,57,31,0,517,0,2,22
8,an029,202010_cfos,acquisition_day2,103,76,75,192,1,74,215,341,218,171,6,7,285,175,8,7,599,676,14,44,1,2,1833,1815,22,207,20,32,31,0,0,2731,16,69,30,0,41,0,27,14,0,153,11,21,15,6,0,11,53,1,1,1,5,8,1,0,0,15,1,27,0,6,0,1,6,17,73,0,3,0,0,0,44,107,86,0,0,0,252,171,66,30,229,199,0,0,0,3,12,0,7,0,0,684,33,110,6,0,1,0,0,0,4,94,150,20,1,0,0,0,159,0,0,14,2,4,2,0,57,1,0,3
9,an030,202010_cfos,acquisition_day2,17,93,41,39,4,65,17,632,1944,5,3,215,734,99,14,110,618,489,281,91,5,28,2681,618,37,3020,35,50,81,1,1,771,31,185,27,0,61,0,10,40,0,578,88,1,6,2,0,0,45,1,29,6,3,15,6,2,5,21,16,21,0,20,0,5,4,10,8,0,4,0,0,0,29,1,95,0,0,0,271,95,47,21,113,115,0,0,8,1,9,0,118,0,0,399,2418,202,38,0,3,0,0,0,29,95,49,25,3,0,0,14,136,0,0,3,9,20,2,3,283,2,0,7
