,brain,batch,condition,Anterior amygdalar area,Basolateral amygdalar nucleus,Central amygdalar nucleus,Cortical amygdalar area,Intercalated amygdalar nucleus,Lateral amygdalar nucleus,Posterior amygdalar nucleus,Somatomotor areas,Somatosensory areas,Gustatory areas,Visceral area,Auditory areas,Visual areas,Anterior cingulate area,Prelimbic area,Infralimbic area,Orbital area,Retrosplenial area,Posterior parietal association areas,Temporal association areas,Perirhinal area,Ectorhinal area,Hippocampal region,Retrohippocampal region,Endopiriform nucleus,Caudoputamen,Nucleus accumbens,Fundus of striatum,Lateral septal nucleus,Septofimbrial nucleus,Septohippocampal nucleus,Pallidum,Ventral anterior-lateral complex of the thalamus,Ventral medial nucleus of the thalamus,Ventral posterolateral nucleus of the thalamus,"""Ventral posterolateral nucleus of the thalamus, parvicellular part""",Ventral posteromedial nucleus of the thalamus,"""Ventral posteromedial nucleus of the thalamus, parvicellular part""",Posterior triangular thalamic nucleus,Subparafascicular nucleus,Subparafascicular area,Lateral posterior nucleus of the thalamus,Posterior complex of the thalamus,Anteroventral nucleus of thalamus,Anteromedial nucleus,Anterodorsal nucleus,Interanteromedial nucleus of the thalamus,Interanterodorsal nucleus of the thalamus,Lateral dorsal nucleus of thalamus,Intermediodorsal nucleus of the thalamus,Submedial nucleus of the thalamus,Parataenial nucleus,Paraventricular nucleus of the thalamus,Nucleus of reuniens,Rhomboid nucleus,Central medial nucleus of the thalamus,Paracentral nucleus,Central lateral nucleus of the thalamus,Parafascicular nucleus,Reticular nucleus of the thalamus,Medial habenula,Lateral habenula,Arcuate hypothalamic nucleus,Anterodorsal preoptic nucleus,Anteroventral preoptic nucleus,Anteroventral periventricular nucleus,Medial preoptic area,Posterodorsal preoptic nucleus,Parastrial nucleus,"""Periventricular hypothalamic nucleus, posterior part""","""Periventricular hypothalamic nucleus, preoptic part""",Subparaventricular zone,Suprachiasmatic nucleus,Ventrolateral preoptic nucleus,Mammillary body,Median preoptic nucleus,Dorsal premammillary nucleus,Ventral premammillary nucleus,Lateral hypothalamic area,Lateral preoptic area,Retrochiasmatic area,Subthalamic nucleus,Tuberal nucleus,Zona incerta,Median eminence,"""Superior colliculus, sensory related""",Nucleus of the brachium of the inferior colliculus,Nucleus sagulum,Parabigeminal nucleus,"""Substantia nigra, reticular part""",Ventral tegmental area,"""Midbrain reticular nucleus, retrorubral area""","""Superior colliculus, motor related""",Periaqueductal gray,Pretectal region,Cuneiform nucleus,Red nucleus,Oculomotor nucleus,Paratrochlear nucleus,Ventral tegmental nucleus,Anterior tegmental nucleus,"""Substantia nigra, compact part""",Pedunculopontine nucleus,Midbrain raphe nuclei,Parabrachial nucleus,Superior olivary complex,Barrington's nucleus,Dorsal tegmental nucleus,Posterodorsal tegmental nucleus,Pontine central gray,Pontine gray,"""Pontine reticular nucleus, caudal part""",Supragenual nucleus,Supratrigeminal nucleus,Tegmental reticular nucleus,Motor nucleus of trigeminal,Laterodorsal tegmental nucleus,Nucleus incertus,Pontine reticular nucleus,Nucleus raphe pontis,Subceruleus nucleus,Sublaterodorsal nucleus
0,an1,201904_ymaze_cfos,CNO_control_no_reversal,-0.6818283290344004,-0.9979419146445908,-0.5431411577867362,1.3865600430509368,-0.12447279785001986,-1.1688203348048614,2.1003768437496606,0.0,1.8884921918527842,0.0,0.6523922332776455,0.9082715933559956,0.25411105261828915,-0.8306462355934321,-1.647739944528769,0.3606067911676852,-0.45830299674930924,1.7187561612789548,1.1657863428013235,0.5617691468058562,1.1167834921569657,0.6090158740941645,-0.41101786976264804,1.3251100360223547,-0.8001905433714724,-1.4451224473746547,-1.068827500070776,-1.295447792749373,-0.7723424124003746,-0.1887605566546368,0.4804074238565601,-1.1693668839098725,-0.7103008347809686,-0.5783885470228531,-0.6352436324959346,,-1.1113369357802012,,-0.7241737048401098,-0.8663322515462467,-0.7261927778419065,-1.1958910986167701,-1.2142163482763477,-1.0600010184865094,-1.0204203278265327,-0.44431498279416637,-0.9491399063226893,-0.8287958998001015,-1.199775376847729,-0.7564571111245454,-0.8303538427716024,-1.2442244826223814,-0.662524441044136,-1.6490397020503913,-1.4025700734784678,-0.8122979040537763,-0.6141227109402747,-1.0706447255714548,-0.5512877643162539,-0.8321810229750993,-0.22139068500127992,-0.7549974786901613,0.6923994493259445,-0.574351484072622,0.4683020595710331,0.8769990503367526,-0.7471016770805161,-0.9680764721924168,-0.9367007033018506,,,,-0.6812599015376517,0.7623285187168324,0.4284321744385351,-0.8307934854925312,0.0,0.751054996169559,-1.4158953502310363,-1.369062268008813,0.41325336873841373,-0.3147240750373606,1.2275505942692522,-0.930626083550075,,,-0.5245913613862866,0.6200805274004483,0.2640988204809114,,-0.5831602670374344,,,-0.4401028643379591,-0.8057722921340771,-0.3170766250751603,-0.3565076850710018,-0.5029463848708738,1.3331892957908313,0.0,-0.5840945882865076,,-0.6714560904920801,-0.12960615346102083,0.32838745225818405,1.0355440861317704,0.5710256582537623,1.529362348811338,-0.173901520379888,0.6503513193605708,0.3638584039255732,,1.2097335461730294,-0.2021914859005503,-0.17207389620010416,0.4175088620108142,1.1831911781063738,0.4942948840203433,0.01495622055506805,0.0,0.44419497485788645,0.980205162155746
1,an2,201904_ymaze_cfos,CNO_control_no_reversal,3.1466615138123983,1.1232054387216486,-0.21707248278332894,2.0652700410561637,0.9449973500392506,1.2303928730240723,1.7471602439186338,-1.8010165549310018,-0.2366314929252272,0.03703508881507288,1.0035636716223606,-0.5709652456359285,0.0,-1.1280984658878046,-1.5762908649930631,0.4396617882471163,-0.5700599272091207,-0.6280389534733462,-0.3723627760040909,0.029637807602898723,2.2051346529307128,2.4246328348532815,-0.18488901841457256,1.673690055587523,2.673094451172977,-0.3743157952560744,-0.023336924568066936,-0.6891474205042865,-1.4352304544281707,-1.022823863074084,0.013419160094555793,-0.4862026915090296,-0.7743623481336287,-0.664799736226799,-0.819429228184055,,-1.1306787518067682,,-0.8471328774342689,-0.0732998800183978,-0.7261927778419065,-1.6250952341027547,-1.4049697536493349,-1.4232659514625563,-1.1310129487082354,-1.3741726829736705,-0.8004392972995381,-1.095189916839021,-1.1279109354528336,-0.5878837229140421,-0.724517403473595,-0.7850018811475082,-0.36405878330831953,-0.4222538016013462,-0.770499910998187,-0.7360635396915899,-1.0458936478331387,-1.6478392804100324,-1.0117988929211417,-0.8071250125139909,-0.6452496050175813,-1.2976500138815046,2.664579965381953,0.0,2.348768883221932,1.8646276285820857,0.42111526402734323,-1.479014187431199,-0.3815046532347233,,,,0.6657691462002067,1.9770388485849135,2.228909107258814,-0.6471355950994274,2.0200151079249644,2.481628634045611,0.6398922002363032,-0.4904468527710878,1.3754944406614356,0.0,2.9887400599637712,-0.9550922359494654,,,1.5266506668669286,1.5102694981318372,1.7883006181151044,,0.48636619694827415,,,-0.8016231341867215,-1.6357465060884662,-0.673349578452692,-0.07551757917406579,-0.8027507415620602,2.155109798307549,-0.686971685774865,-0.016607561995586162,,0.0,0.8418877118820675,0.37734527435305476,2.5007542089043917,0.8642590087273766,1.86976442854544,0.4759343605914248,0.8804547034931038,1.8843194656066828,,0.6308368353385323,-0.026271425426738767,0.6355182336434162,0.9220317443547261,0.9192164939350644,0.7451680399282553,0.18043544345373494,-0.12704276616400842,1.125352592291933,1.0162363278375333
2,an3,201904_ymaze_cfos,CNO_control_no_reversal,-0.4863291863426078,-1.3625436376807785,-1.7196361307397932,1.962786841911212,-0.9484643288138693,-1.7427494020223082,2.475917240796674,1.096226237064159,2.49982652605141,1.1914935631576316,1.3545411528581863,1.2928489436360813,2.1289894466944705,0.2493032922333554,0.7017851980356224,1.630572449379283,2.433205297337217,0.9821103437334939,2.601609477444326,0.6734394351262075,1.1104046506396825,1.1573658658145842,-1.6547082772520731,0.9797606723862842,0.0,-2.024561595940569,-2.476018923724199,-1.9951106685114495,-1.509892202586612,-1.1003015839522048,-0.674841810795229,-1.2798492941233106,-0.9448916770278534,-0.6571432591098562,-1.0657166113847056,,-1.7776406074683893,,-1.6328118987466802,-1.4728160651560458,-0.7261927778419065,-1.7433852089681277,-2.111423863506501,-1.5660312974296207,-1.1901276008547896,-1.348368828526992,-0.8035889624150897,-1.3323650820538302,-2.209070498855616,-0.6868095964596247,-0.9177505692763547,-1.035384242293765,-0.6952791428634594,-1.248270545073753,-1.2422932048611055,-0.842385054293005,-1.1810644677240065,-1.9021420223603567,-1.4165662029462194,-1.1150888606613665,-0.8444492266899517,-1.3483328969689952,0.7845704547373022,-1.4886867417039478,-0.6186430211333686,0.987563845353828,-1.4025455574037224,-1.543298380117923,-0.9343398984096356,,,,-0.030523240403581522,1.047080181098683,0.519666752600243,-0.4906874956070037,-0.05281350630403719,0.5292065760340563,-0.9391831180605226,-0.7882025780792453,0.15757390283401723,-1.076812123786525,1.2065947955839937,-1.3112962242018045,,,-1.9669095748569831,-0.36341375764480915,0.9542905538687407,,-0.8883703839793071,,,-1.6763136354957702,-1.613429057747916,-1.0761893159037264,-0.5863031236721911,-0.7595861777664835,-0.9763047683483971,-1.653338121242158,-0.659444755666604,,-0.8526785995477543,-1.3938748609769767,-0.8093362303809671,1.101547861048775,-1.7858886302502681,-1.3506091727635108,-1.1963146653144825,-1.7524352719446388,0.6998251647547704,,-0.3957488135587949,-0.4582986782558595,-0.054068811642262245,-0.8021755410580416,-2.147528575727317,-1.1877119005972507,-0.6691886059036266,-1.0680611304573617,-0.5001418381414162,0.0
3,an4,201904_ymaze_cfos,CNO_control_no_reversal,3.6045534333668154,1.3124326591917386,0.33057273364285733,-0.9101275148252397,3.406423422069175,0.21109751941903546,0.5292064926406922,-0.4592859277417281,0.0,-0.024193277586632863,1.458177981745984,-0.9783140624444656,0.7299533639491287,3.15067047383512,2.7449444889687324,4.336394115543133,-0.7882948843835896,1.1506659885602069,0.20930373353924245,-0.47500881212500484,1.320505708993682,2.118111250252036,-0.6990878990009592,0.9241050161910758,5.142869634089778,-0.8904201183843702,-1.2505065694422695,-1.5801426863002563,-0.29028952273966074,-0.581159731285419,0.7638262526414136,-0.08172159758624932,-0.5118211895037141,-0.5134611604794611,-1.0178106317487434,,-0.8753487838085756,,-0.7602636835055923,-0.6166395098374149,0.5011360773448197,-1.6432598899717974,-1.30484332076881,-1.2644078168958952,-0.9663935546454511,-0.8360674718427985,-0.028512640822238942,-1.0445956676578516,-1.3617585751577588,-0.17845901635141817,-0.7027808606942874,-0.26867210839968253,-0.13467117178964969,-0.2484493238430154,-0.22152454133186303,-0.23079088866957542,-0.3789620366927856,-1.251252397989409,-0.9355066358435862,-0.9570613236852326,-0.8444492266899517,-1.0089454773573967,-1.857646003593208,2.165606958715946,2.429316085059575,-1.492560885539402,2.4710835252282415,0.6814424767836701,3.2037888410628494,,,,-2.0028652001959473,-1.5903825194959997,0.1395059585659658,0.0,3.0266388351832427,1.007140724366006,1.972599102501966,5.709832673600763,-1.691609958580149,-0.409884387032581,-0.6174613602711363,-1.2142691310320912,,,0.17566224177150333,0.967884182940839,1.5304143289329846,,0.35729315030267095,,,-0.4212580540153928,-1.5408564741620066,-0.10768985416482114,-0.1807540482318836,-0.9609661312555199,0.9282877174999048,-0.3913236003301381,-0.3673219128747614,,0.33696009964840806,1.025078102126017,0.30513215742096544,-0.32133993542799566,0.6001681384507437,-0.6282024367644794,0.1497538674871858,-0.09194250477638556,-0.2679400209740694,,0.9833345305442391,-0.08814561811020678,5.130365478615556,0.045091920186694036,-1.057935914902592,0.4608721941532142,1.465549379926914,2.0676772815569517,1.0076454414702016,1.665181645004846
4,an5,201904_ymaze_cfos,CNO_control_no_reversal,2.86579141989754,-1.2843438619381642,0.8341805151340214,0.563555805987068,-0.07287335082822172,-1.1542380328527917,0.0,0.9123198376777908,2.496600801880929,3.5171343746769756,2.2196071857402644,0.09764681130140927,-1.1637882327783078,1.1849246153723894,1.4114884692584124,2.1825016741604872,2.821476733878275,0.0,-0.7008358753672996,-0.5437382107133033,-0.7643121441312785,-0.5958318192396351,-0.9250022383452042,-0.6447121082936995,-0.4546902595669171,-0.4676497422292601,1.5693807531345778,0.5819355735212668,2.5637227398900544,0.3879088414068145,2.115467068183429,1.8787094811968614,0.023179727626133566,0.589906257008103,-0.37019109686063045,,-0.7267548081005906,,0.05198714430808025,0.2965409854762335,-0.7261927778419065,-1.4911233207613683,-1.2455645690515285,0.3102731390206933,0.0,-0.01880241154997028,-0.14720338019716467,-0.5677853327732392,-1.1935013124692446,-0.3606654715595197,-0.3435188958612279,0.0,-0.2663287233042344,0.0,-0.4106624759525564,-0.34176041277234953,-0.5966152979913778,-1.4112708998801407,-0.8963553087023896,0.29169982856987503,-0.8444492266899517,-1.2421220171593685,-0.9194945052485306,1.6786508529582946,1.738502665953581,1.8417573860103644,2.611013603054933,2.323454327656795,2.200089530543461,,,,1.3487110806100544,0.8151883991994431,0.15260467948120843,1.0718013930934613,-0.44847079734756495,0.012607442921043533,0.986326449133651,2.8957477676115735,1.7836306799380328,0.316739183821268,0.6145124734461401,-0.00865151874483194,,,-1.006388734294587,0.41654840301943746,-0.18006951555259554,,0.0,,,-1.004015565413589,-1.0644549485278556,-0.8561179233430884,-0.24531580333471306,-0.4575399805893097,0.19864797096141507,-1.8429641949342501,-0.5173797220136557,,-0.320851158483794,0.0,-1.0145046776491553,-0.08749474345616891,-1.9154158925821756,-1.5163677941299503,-1.4916526836989885,-2.286901636661362,-0.022399909175794774,,-0.3957488135587949,-1.060526234614985,-0.7314360951650876,-1.2833098452647065,-2.047593470930418,-1.9025901055923777,-0.4677465052236248,-1.5284630725387989,-1.3270607193000028,-1.2810459739886442
5,an6,201904_ymaze_cfos,CNO_control_no_reversal,-1.421865997468134,-1.180813109896059,-0.8681460722845381,0.21159767767676393,-0.5103960957080006,-0.3205778207387516,0.4452750117058755,-1.0651554467812607,-0.006561379345293437,-1.1114505049958534,0.1121532895977576,0.0,0.6755187098526151,1.8198462345166388,-0.9546822959065533,0.6528516943596884,-1.6653650689042796,1.5313295862065022,0.5713899759696162,0.7741689190717459,1.0578653725404605,1.1429294367058114,-0.002402674558604997,1.5864477428096835,-0.7647541687076945,-0.9702293044024648,-0.020331671904650215,-1.484685326327782,0.21929126338197472,-0.5975841109710527,1.0957731677374043,-0.7514303230480369,-0.5503733819572734,-0.427658880296114,-0.3457774917631938,,-0.9559308606380057,,-0.9854139423363415,-0.49207730055611903,-0.7261927778419065,-1.5761076440457835,-1.1366397522375526,-0.88340769914564,-0.8876074521451287,0.0,-0.6729182349736704,-0.8798958228700878,-0.8875586448165653,-0.43788574916907913,-0.7612577476924725,-0.008830260861936287,0.22544085557080368,-0.3078215117279449,-1.002603774681975,-0.4929123649222124,-0.6837179550576059,-1.169978978458247,-0.6175028068951428,-0.17758690539749802,-0.8444492266899517,-1.1262509133792356,1.5481220247614866,-0.8132803822600045,0.49577774952107956,0.6666572013590043,0.6431619991778575,-0.36049431639878865,-0.7791889138432786,,,,0.0,1.855492082333201,1.7358503179572713,-0.6920371771090571,1.089128760036795,1.2019916741826673,0.1242534290274547,0.43199630470169303,0.9594034328754727,-0.5762510286607985,1.4333242617448525,-0.7466770541882056,,,0.0,0.41507460643836824,1.6718817043361098,,0.8648495404427444,,,-0.8749506189468427,-1.405685351946834,0.0,-0.028673970117604225,-0.7219928582793897,2.0367723895042413,-0.7276177248784875,0.1842429578469311,,0.16348328212388072,1.001857823262014,0.0,0.8394924816729754,0.8070673433342194,1.0899895980893968,0.5737121181083626,0.9707869732460123,1.3773939150876249,,2.323570249797955,0.11829131255939186,0.36263611425510944,-0.41415943388308224,-0.043705091533258515,0.9476601890175332,0.18298700688760536,0.5031504853230229,-0.15383740212135308,0.6518623018300099
6,an7,201904_ymaze_cfos,CNO_control_no_reversal,0.20897958643197442,0.009417205923969302,0.0,-1.0220974331137325,0.34108423885748573,-0.31884745439858225,-0.19300139991920112,0.10687403127266232,-0.2193414907353844,-0.38797031323456516,-0.41104251434812594,0.18917389715962066,-0.8744144900748747,0.0,0.0,1.0328606134171656,1.185921478050253,2.5522599886452455,0.25023429260564967,2.7833612929437495,2.0043492874585724,1.9569731064350953,1.186112341881881,1.0374110244331896,0.3421791150149914,-0.8784869647720233,-1.5687079440905847,-1.8120664817319998,0.6556908716368942,-1.0075215990039288,7.440248815677311,-0.13326150907498835,-0.41108127873037464,2.388111449460996,-0.65109088453293,,-1.1817573743346819,,-0.06455137022033625,0.0,-0.042905832408604856,-0.9487835181524983,-1.2049817117117603,-1.3202391459428924,-0.4892251912583217,-0.7225832061713366,-0.5636996503527208,-1.1095778450713827,-0.7515136428149327,-0.3864075123746908,1.6123062966054207,-0.5793554637678696,-0.700547282886312,1.213957490765613,0.39515395245087964,0.0,-0.5368306927080495,-1.54693994958399,-1.0751785895891093,-0.44095211165918574,-0.8444492266899517,-1.093315833582378,2.1213255742790302,-0.273657735969794,0.5036302614151236,-0.6876631999442265,0.282238122891488,2.3878935955340954,-0.3513447195122938,,,,-1.3043198298528167,-1.241209840240052,-0.8932701279777976,0.9777559534887579,1.8304839152631862,0.40379508724969404,0.5329991188392631,1.261971405586767,5.083490762588446,2.9963487990508284,1.5625590103352454,0.6617596848667069,,,1.6358984888992674,2.6256928664058803,0.4859618064820742,,1.7307062718045632,,,-0.5946016606957614,-1.164205602127722,-0.5725627301836635,1.8753097922221398,-0.3774475280660072,0.0,0.4902476624093357,-0.48750203109548657,,-0.5460238357311461,1.011292083246492,-0.3007678849097927,-0.2447358447859902,-0.1957810061349146,2.555786942942391,3.1183008763045645,2.1385398947792624,-0.6983916793958976,,0.3720239326842988,2.376914045265341,0.8465013544706562,1.8582780234437297,2.524550717812343,0.0,-0.4345629005488362,-1.3921751273959957,-0.44706729361177905,0.23318042521743906
7,an8,201904_ymaze_cfos,CNO_control_no_reversal,0.6838202129264646,-0.8585484443321331,-1.1488740419033516,1.568355379370661,-0.8532264525886869,0.0,0.6078004422013382,0.21207614382605658,0.5415866073441206,-0.36150951159308764,-0.18470794674986535,-0.5982704883556501,0.09719291554566975,0.5510606926941256,-0.03567750585666224,2.468301575244999,-0.3416851774700062,-1.3869355871505036,-0.5327296647270967,-0.5320579490873368,0.6445550517161623,1.0631859721748305,-0.532334954194525,0.7405363473687818,0.9406279467252752,0.0,1.978723388576744,0.0,-0.7907427557623319,-0.9206570136768962,-0.030961397578438774,0.0,-1.285260122931161,-0.3457386368313057,-1.1766328983417114,,-1.522572192293417,,-1.2686919957259362,-0.11900412366104147,-0.7261927778419065,-1.7928663708537613,-1.7426400658968444,-1.7440051193672492,-1.2002821140951632,-1.6036024954758419,-0.8206849791694593,-1.438695142968468,-2.065049596977539,-0.6959189546408627,-0.6756633957759991,-1.1158089785920762,-0.6236536980982741,-0.6951371507283752,-1.2129615464160601,-0.7299916836503265,-0.7960837130051353,-1.9425817186535006,-1.1541020948530023,-1.061810762145243,-0.8444492266899517,-1.249020335958437,2.3620183618728707,-0.6367020857618669,0.0,2.4822697105090077,0.9874439948023367,-1.4078253540243049,-0.041142195801843306,,,,2.5326524850677927,2.641555258437603,2.1635155284711356,-1.0307965960797298,1.7827649874076061,1.6277458842543822,1.3249065403356524,1.572013768525378,-0.22529674806722422,0.8155429572478714,1.1876436361600509,-0.4341638151628015,,,-0.6682204349934263,0.33443868149490424,1.1748133233898004,,1.6952163682445682,,,-0.8025775476830922,-1.6972670815810582,-0.1304874777649622,-0.05099294704282999,-0.8347477028927223,2.903770213019577,-0.9795612501510653,-0.6359308741929184,,-0.7885970794286644,0.709206013916897,-0.27607879241827765,2.7317001231024287,1.6953087322189024,-1.0176155950940005,-1.7715896507024296,0.24835059871673898,2.8192095865413966,,-0.3957488135587949,-1.1470874193544995,0.0,-0.38941540627915777,-1.0482666865746737,1.1079070014213908,-0.17343573006211813,1.154078673887211,2.4387708965682786,2.645437345349595
0,an10,201904_ymaze_cfos,CNO_control_reversal,0.7509405821597782,-0.9921240562906752,-0.9683980146132214,2.68105930012347,-1.2645086145012194,-2.0127205476871595,3.3416103961456054,-1.6721611981095095,-1.7848275791868171,0.8780894389524112,0.14505698559748065,-0.4660712518097062,0.5290872809961983,-2.155713039028673,-1.91204347894382,-0.79100272114809,0.953751681665551,0.2614735648156703,-0.4141960659618581,0.6522092505000284,2.0375342022682097,2.5593088427281936,-0.5785873434557981,2.0929353237526573,0.3087128581042257,-0.6859203883702379,-1.0043747889339736,1.298867579628325,-1.1862966110139506,-1.0564982430100889,-1.1177282351517446,-0.5320433890862605,1.1887876104239412,0.5250518801056677,0.784362036766954,,1.439322012950937,,-1.3460553147414347,-0.3815437289040191,-0.04712933956709764,0.7673724016268879,0.2629875942198882,0.011203812881151222,-0.17020178538156383,0.4155695331116779,-0.0518500909409067,-0.33833516808861064,0.05911171133568289,-0.1736727249780268,0.0,-0.7078259880181781,0.8813421192725596,-0.6239123747426978,-0.5893187621394603,-0.43554100755946473,-0.03604206096613822,1.6369721713119982,1.3270584237537015,-0.21441997204408067,2.708953888429418,1.4826606675838874,1.833105779813508,-0.8675320389918155,0.13194402474849545,2.088671444207472,-0.1811447781058931,-1.0198262927837651,-0.6194879095352431,,,,1.1707464495942908,1.70180524922671,1.1599723206000556,-0.4604716357092869,1.3669849914330146,2.3036652134824136,0.2912122643300699,-0.444987136357493,0.8670146778583518,-0.5480848719989279,2.143111319544844,0.0,,,1.7232081021372105,-0.1486674339526526,3.016693230991666,,-0.6166876688284626,,,1.1206238697011375,0.2678699535490432,0.8596299188735131,-0.31733089450799634,-0.026340440909859663,-0.24156413403074065,1.2626675875685551,0.8298565354816404,,0.04036466455929988,-0.6821874645100608,0.5904014813102689,0.911261019708264,0.9742298989892073,0.6811125189487606,1.873159341191911,1.3519766117057928,-0.6269500081384185,,-0.3957488135587949,0.21889171038508,-1.5821473275454476,0.22841365197042993,0.6385564244515741,0.8429856807301069,-0.9022231234319701,-0.22654067299235045,1.5149811617827702,2.4908186713526392
1,an11,201904_ymaze_cfos,CNO_control_reversal,-1.8198234944994247,-1.6788708285888772,-1.2958401258679033,0.0,-1.9840268726123123,-2.7094029015081897,-0.3228745350880607,-1.5864095954433084,0.8064364762733578,-0.9106364138798118,-0.15215517227671613,1.3250326886663617,0.6473731812751355,-0.5875575219364748,-1.1565503993465296,-0.5663591766505942,0.0,0.48381434904766957,-0.14743885136316154,-0.2946642106726434,0.0,0.13878738315647557,0.11590971118848405,1.9531362697005097,-0.8826903871105463,-2.1905761631975773,-1.039583778039719,-2.6075210869103542,-1.602893947604224,-0.9790960371530553,-1.0662602292367733,-0.8646282521711355,-0.07929729509155814,-0.5409480567241521,-0.6421958745422455,,0.33474629651315935,,-0.02090529728116633,-0.004745851860662543,-0.7261927778419065,1.0498460546362047,0.1262143831839692,-1.381974091389573,-0.7351477700949092,-0.3322633028381125,-0.5641252518116847,-1.0018537654482507,0.43631666757283777,-0.19651481267117404,-0.4859968712363033,-0.7291997284647634,-0.08411269442179631,-0.4326791635493965,-0.6247684947549584,-0.08476317232987547,-0.22524134494635004,0.6364925944872554,-0.1858093513456383,-0.9636519980606472,0.8225520174284497,0.45294353003868965,-0.0952921513497239,1.6434475894937193,0.03664053837700119,1.9065891768134,0.3344576583429964,-0.894640585757925,0.08659712933783069,,,,1.347003191765354,1.3649583241988383,2.2159743832658445,-1.0307965960797298,0.8977833963835474,0.20182866475488145,0.05363461598314716,-0.6389004611389768,0.39316106176023596,-0.42540122427254523,0.0,-1.171108068095019,,,1.7524427670466391,0.41944654250037894,1.6303560601892342,,0.7513431870081738,,,1.0902296493513621,2.0005617821392083,2.6451170350300477,0.0,0.0,0.2666766386652226,-0.9177262007252995,-0.23766085340699955,,-0.6093742815891308,0.7467228510798586,3.0002071005597357,2.339689331369967,0.430730625457204,-0.9479223867260883,0.36572805121240437,0.04649420289332991,2.082975232429706,,1.7519956695113086,0.0,0.1654225776957965,0.8331357949007188,1.411507443861724,0.023200166625533886,0.0972741920832565,-1.0952351227734918,-0.5567278346252512,-0.15599507965621842
