brain,brain_longname,condition,batch
an10_mcherrydymaze,an10_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an11_mcherrydymaze,an11_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an12_mcherrydymaze,an12_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an13_mcherrydymaze,an13_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an14_mcherrydymaze,an14_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an2_mcherrydymaze,an2_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an3_mcherrydymaze,an3_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an4_mcherrydymaze,an4_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an6_mcherrydymaze,an6_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an7_mcherrydymaze,an7_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an8_mcherrydymaze,an8_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an9_mcherrydymaze,an9_mcherrydymaze,dilutedvector_control_reversal,202002_cfos
an001,an001,habituation,202010_cfos
an002,an002,habituation,202010_cfos
an003,an003,habituation,202010_cfos
an004,an004,habituation,202010_cfos
an005,an005,habituation,202010_cfos
an006,an006,habituation,202010_cfos
an007,an007,habituation,202010_cfos
an008,an008,habituation,202010_cfos
an009,an009,habituation,202010_cfos
an010,an010,habituation,202010_cfos
an29,an29,homecage_control,201904_ymaze_cfos
an30,an30,homecage_control,201904_ymaze_cfos
an31,an31,homecage_control,201904_ymaze_cfos
an32,an32,homecage_control,201904_ymaze_cfos
an33,an33,homecage_control,201904_ymaze_cfos
an1_vecctrl_ymaze,an1_vecctrl_ymaze,lobVI_noreversal,202002_cfos
an10_vecctrl_ymaze,an10_vecctrl_ymaze,lobVI_noreversal,202002_cfos
an2_vecctrl_ymaze,an2_vecctrl_ymaze,lobVI_noreversal,202002_cfos
an3_vecctrl_ymaze,an3_vecctrl_ymaze,lobVI_noreversal,202002_cfos
an4_vecctrl_ymaze,an4_vecctrl_ymaze,lobVI_noreversal,202002_cfos
an5_vecctrl_ymaze,an5_vecctrl_ymaze,lobVI_noreversal,202002_cfos
an6_vecctrl_ymaze,an6_vecctrl_ymaze,lobVI_noreversal,202002_cfos
an7_vecctrl_ymaze,an7_vecctrl_ymaze,lobVI_noreversal,202002_cfos
an8_vecctrl_ymaze,an8_vecctrl_ymaze,lobVI_noreversal,202002_cfos
an9_vecctrl_ymaze,an9_vecctrl_ymaze,lobVI_noreversal,202002_cfos
dadult_pc_lob6_13,dadult_pc_lob6_13,lobVI_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_lob6_15,dadult_pc_lob6_15,lobVI_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_lob6_17,dadult_pc_lob6_17,lobVI_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_lob6_18,dadult_pc_lob6_18,lobVI_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_lob6_19,dadult_pc_lob6_19,lobVI_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_lob6_20,dadult_pc_lob6_20,lobVI_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_lob6_21,dadult_pc_lob6_21,lobVI_reversal,201810_adultacutePC_ymaze_cfos
an19,an19,lobVI_reversal,201904_ymaze_cfos
an21,an21,lobVI_reversal,201904_ymaze_cfos
an22,an22,lobVI_reversal,201904_ymaze_cfos
an23,an23,lobVI_reversal,201904_ymaze_cfos
an24,an24,lobVI_reversal,201904_ymaze_cfos
an25,an25,lobVI_reversal,201904_ymaze_cfos
an26,an26,lobVI_reversal,201904_ymaze_cfos
an27,an27,lobVI_reversal,201904_ymaze_cfos
an28,an28,lobVI_reversal,201904_ymaze_cfos
an1_saline,an1_saline,saline_injection,202002_cfos
an2_saline,an2_saline,saline_injection,202002_cfos
an3_saline,an3_saline,saline_injection,202002_cfos
an4_saline,an4_saline,saline_injection,202002_cfos
dadult_pc_crus1_1,dadult_pc_crus1_1,vector_control_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_crus1_3,dadult_pc_crus1_3,vector_control_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_crus1_4,dadult_pc_crus1_4,vector_control_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_lob6_14,dadult_pc_lob6_14,vector_control_reversal,201810_adultacutePC_ymaze_cfos
dadult_pc_lob6_16,dadult_pc_lob6_16,vector_control_reversal,201810_adultacutePC_ymaze_cfos
an26_crus1_lat,an26_crus1_lat,Vehicle_control_reversal,202002_cfos
an27_crus1_lat,an27_crus1_lat,Vehicle_control_reversal,202002_cfos
an28_crus1_lat,an28_crus1_lat,Vehicle_control_reversal,202002_cfos
an29_crus1_lat,an29_crus1_lat,Vehicle_control_reversal,202002_cfos
an30_crus1_lat,an30_crus1_lat,Vehicle_control_reversal,202002_cfos
an31_crus1_lat,an31_crus1_lat,Vehicle_control_reversal,202002_cfos
an32_crus1_lat,an32_crus1_lat,Vehicle_control_reversal,202002_cfos
an33_crus1_lat,an33_crus1_lat,Vehicle_control_reversal,202002_cfos
an34_crus1_lat,an34_crus1_lat,Vehicle_control_reversal,202002_cfos
