Date,Brief exp description,Animal model,Primary antibody,Primary order info,Primary concentration used,Secondary antibody,Secondary order info,Secondary concentration used,Comments
6/8/2017,PSAM virus test,B6/C57,Chicken antiGFP,Aves,1 : 500,Donkey antiChicken 647,,1 : 300,
6/8/2017,DREADDs for mcherry cerebellar expression,Thy1 YFP x Pcp2,rabbit antiRFP,,1 : 500,Donkey antiRabbit 647,,1 : 300,
11/28/2018,Php.eb virus Esteban test,B6/C57,rabbit antiRFP,,1 : 1000,Donkey antiRabbit 647,,1 : 450,
11/26/2018,DREADD PC adult lobVI ymaze cfos,B6/C57,anti cFos,,1 : 1000,Donkey antiRabbit 647,,1 : 200,
8/31/2018,DREADD PC adult lobVI ymaze cfos,B6/C57,anti cFos,,1 : 1000,Donkey antiRabbit 647,,1 : 200,
6/4/2018,DREADD PC adult lobVI ymaze cfos,B6/C57,anti cFos,,1 : 1000,Donkey antiRabbit 647,,1 : 200,
5/18/2018,,Ai168GcampxPcp2,chicken antiGFP,,1 : 500,Donkey antiChicken 647,,1 : 300,
2/28/2018,DREADDs for mcherry cerebellar expression,B6/C57,antiRFP,rockland,1 : 1000,Donkey antiRabbit 647,,1 : 450,
8/22/2018,test for retrocre mcherry in NAc VTA,,rabbit antiRFP,,1 : 500,Donkey antiRabbit 647,,1 : 500,
6/7/2018,DREADDs for mcherry cerebellar expression,B6/C57,antiRFP,rockland,1 : 1000,Donkey antiRabbit 647,,1 : 450,
10/23/2018,DREADDs for mcherry cerebellar expression,B6/C57,antiRFP,rockland,1 : 1000,Donkey antiRabbit 647,,1 : 450,
10/23/2018,DREADDs for cFos,B6/C57,anti cFos,,1 : 1000,Donkey antiRabbit 647,,1 : 200,
10/30/2018,DREADDs for mcherry cerebellar expression,B6/C57,antiRFP,rockland,1 : 1000,Donkey antiRabbit 647,,1 : 450,
10/30/2018,DREADDs for cFos,B6/C57,anti cFos,,1 : 1000,Donkey antiRabbit 647,,1 : 200,
11/30/2018,EAAT4,EAAT4,chicken antiGFP,Aves,1 : 500,Donkey antiChicken 647,,1 : 750,
7/3/2018,Php.eb virus Esteban test,B6/C57,rabbit antiRFP,rockland,1 : 1000,Donkey antiRabbit 647,,1 : 450,
